cslNpdidLicence,cslLicenceName,wlbNpdidWellbore,wlbWellboreName,csdYear,csdMonth,csdVolumeInjectedMonth,csdVolumeInjectedTotalYear,csdModifiedDate
34751726,EL001,9615,31/5-A-7 AH,2051,6,"123993","1500000",30.06.2051 12:05:00
34751726,EL001,9615,31/5-A-7 AH,2051,5,"116233","1376007",31.05.2051 12:04:59
34751726,EL001,9615,31/5-A-7 AH,2051,4,"118198","1259774",30.04.2051 12:04:58
34751726,EL001,9615,31/5-A-7 AH,2051,3,"131031","1141576",31.03.2051 12:04:57
34751726,EL001,9615,31/5-A-7 AH,2051,2,"145378","1010545",28.02.2051 12:04:56
34751726,EL001,9615,31/5-A-7 AH,2051,1,"149455","865167",31.01.2051 12:04:55
34751726,EL001,9615,31/5-A-7 AH,2050,12,"157553","715712",31.12.2050 12:04:54
34751726,EL001,9615,31/5-A-7 AH,2050,11,"159859","558159",30.11.2050 12:04:53
34751726,EL001,9615,31/5-A-7 AH,2050,10,"125405","398300",31.10.2050 12:04:52
34751726,EL001,9615,31/5-A-7 AH,2050,9,"26804","272895",30.09.2050 12:04:51
34751726,EL001,9615,31/5-A-7 AH,2050,8,"129303","246091",31.08.2050 12:04:50
34751726,EL001,9615,31/5-A-7 AH,2050,7,"116788","116788",31.07.2050 12:04:49
34751726,EL001,9615,31/5-A-7 AH,2050,6,"107172","1500000",30.06.2050 12:04:48
34751726,EL001,9615,31/5-A-7 AH,2050,5,"121994","1392828",31.05.2050 12:04:47
34751726,EL001,9615,31/5-A-7 AH,2050,4,"139782","1270834",30.04.2050 12:04:46
34751726,EL001,9615,31/5-A-7 AH,2050,3,"152594","1131052",31.03.2050 12:04:45
34751726,EL001,9615,31/5-A-7 AH,2050,2,"165379","978458",28.02.2050 12:04:44
34751726,EL001,9615,31/5-A-7 AH,2050,1,"130205","813079",31.01.2050 12:04:43
34751726,EL001,9615,31/5-A-7 AH,2049,12,"132623","682874",31.12.2049 12:04:42
34751726,EL001,9615,31/5-A-7 AH,2049,11,"142564","550251",30.11.2049 12:04:41
34751726,EL001,9615,31/5-A-7 AH,2049,10,"25818","407687",31.10.2049 12:04:40
34751726,EL001,9615,31/5-A-7 AH,2049,9,"143712","381869",30.09.2049 12:04:39
34751726,EL001,9615,31/5-A-7 AH,2049,8,"118758","238157",31.08.2049 12:04:38
34751726,EL001,9615,31/5-A-7 AH,2049,7,"119399","119399",31.07.2049 12:04:37
34751726,EL001,9615,31/5-A-7 AH,2049,6,"119855","1500000",30.06.2049 12:04:36
34751726,EL001,9615,31/5-A-7 AH,2049,5,"123362","1380145",31.05.2049 12:04:35
34751726,EL001,9615,31/5-A-7 AH,2049,4,"126234","1256783",30.04.2049 12:04:34
34751726,EL001,9615,31/5-A-7 AH,2049,3,"132181","1130549",31.03.2049 12:04:33
34751726,EL001,9615,31/5-A-7 AH,2049,2,"118734","998368",28.02.2049 12:04:32
34751726,EL001,9615,31/5-A-7 AH,2049,1,"125579","879634",31.01.2049 12:04:31
34751726,EL001,9615,31/5-A-7 AH,2048,12,"148708","754055",31.12.2048 12:04:30
34751726,EL001,9615,31/5-A-7 AH,2048,11,"125489","605347",30.11.2048 12:04:29
34751726,EL001,9615,31/5-A-7 AH,2048,10,"141556","479858",31.10.2048 12:04:28
34751726,EL001,9615,31/5-A-7 AH,2048,9,"125546","338302",30.09.2048 12:04:27
