Well_Bore_Name,NS_DEC_DEG,EW_DEC_DEG,PERF_FROM,PERF_TO
31/01/01,60.819128,3.315036,6,8
31/11-1 S,60.101353,3.575497,6,8
31/1-3 S,60.8781,3.246642,6,8
31/2-1,60.771989,3.554408,6,8
31/2-1 R,60.771989,3.554408,6,8
31/2-2 R,60.779944,3.623194,6,8
31/2-3,60.841067,3.586339,6,8
31/2-4 R,60.856547,3.512314,6,8
31/2-4 R2,60.856547,3.512314,6,8
31/2-5,60.771167,3.431517,6,8
31/2-5 R,60.771167,3.431517,6,8
31/2-5 R2,60.771167,3.431517,6,8
31/2-8,60.959172,3.497178,6,8
31/03/01,60.779961,3.734278,6,8
31/03/03,60.833969,3.843933,6,8
31/4-3,60.586722,3.093917,6,8
31/05/02,60.725914,3.547983,6,8
31/5-2 R,60.576425,3.443367,6,8
31/05/07,60.576425,3.443367,6,8
31/6-1,60.645803,3.681189,6,8
31/6-2 R,60.582844,3.915489,6,8
31/6-3,60.501325,3.998214,6,8
31/6-6,60.699189,3.934614,6,8
31/07/01,60.425431,3.024508,6,8
32/4-1,60.722661,4.076789,6,8
32/4-3 S,60.510442,4.152253,6,8
35/10-1,61.117236,3.226353,6,8
35/1-1,61.835864,3.073392,6,8
35/11-1,61.183131,3.662486,6,8
35/11-18 A,61.156781,3.343914,6,8
35/11-2,61.174006,3.458711,6,8
35/11-22 S,61.083964,3.349144,6,8
35/11-3 S,61.086733,3.338464,6,8
35/11-4,61.033314,3.548217,6,8
35/11-4 R,61.033314,3.548217,6,8
35/11-5,61.079328,3.398192,6,8
35/11-6,61.196061,3.465406,6,8
35/11-7,61.033261,3.590619,6,8
35/9-11 A,61.357069,3.679047,6,8
35/9-11 S,61.357069,3.679047,6,8
