Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,299.578211557913,0,3048.27044421984,301.825641650713,0,3071.18784165837,304.073054944491,0,3094.10522731127,306.320422314558,0,3117.02258894133,308.567808370634,0,3139.93999839204
2,300.293172146486,0,3048.27044421984,302.540621089997,0,3071.18784165837,304.78804543658,0,3094.10522731127,307.03541471499,0,3117.02258894133,309.282801826771,0,3139.93999839204
3,300.840297269239,0,3048.27044421984,303.08776667212,0,3071.18784165837,305.335208760603,0,3094.10522731127,307.582602144003,0,3117.02258894133,309.830007118823,0,3139.93999839204
4,301.216512187537,0,3048.27044421984,303.463997170604,0,3071.18784165837,305.711453774301,0,3094.10522731127,307.958869364568,0,3117.02258894133,310.206290864563,0,3139.93999839204
5,301.468087495334,0,3048.27044421984,303.715583178516,0,3071.18784165837,305.963049916041,0,3094.10522731127,308.210481389951,0,3117.02258894133,310.457914719265,0,3139.93999839204
6,301.638211263856,0,3048.27044421984,303.885714105699,0,3071.18784165837,306.133187573858,0,3094.10522731127,308.380629485384,0,3117.02258894133,310.628070585642,0,3139.93999839204
7,301.754433481494,0,3048.27044421984,304.001941166599,0,3071.18784165837,306.249419158453,0,3094.10522731127,308.496868016476,0,3117.02258894133,310.744314286923,0,3139.93999839204
8,301.835175114889,0,3048.27044421984,304.082686111473,0,3071.18784165837,306.330167162444,0,3094.10522731127,308.577620639933,0,3117.02258894133,310.825070346779,0,3139.93999839204
9,301.893329458412,0,3048.27044421984,304.14084275945,0,3071.18784165837,306.388325888566,0,3094.10522731127,308.635782386215,0,3117.02258894133,310.883234336917,0,3139.93999839204
10,301.935377414462,0,3048.27044421984,304.182892375624,0,3071.18784165837,306.430376997866,0,3094.10522731127,308.677835656008,0,3117.02258894133,310.925289211624,0,3139.93999839204
11,301.966568948666,0,3048.27044421984,304.214085111797,0,3071.18784165837,306.461570795325,0,3094.10522731127,308.709030941785,0,3117.02258894133,310.956485601825,0,3139.93999839204
12,301.990660965696,0,3048.27044421984,304.238178022425,0,3071.18784165837,306.485664471105,0,3094.10522731127,308.733125632443,0,3117.02258894133,310.980581044103,0,3139.93999839204
13,302.009241722268,0,3048.27044421984,304.256759469269,0,3071.18784165837,306.504246509272,0,3094.10522731127,308.751708455554,0,3117.02258894133,310.999164448574,0,3139.93999839204
14,302.024518185387,0,3048.27044421984,304.272036466555,0,3071.18784165837,306.519523940971,0,3094.10522731127,308.766986405723,0,3117.02258894133,311.014442781162,0,3139.93999839204
15,302.038341665533,0,3048.27044421984,304.285860388285,0,3071.18784165837,306.533348191104,0,3094.10522731127,308.780810966593,0,3117.02258894133,311.02826756877,0,3139.93999839204
16,302.050548502181,0,3048.27044421984,304.298067624005,0,3071.18784165837,306.545555730851,0,3094.10522731127,308.793018814931,0,3117.02258894133,311.040475643077,0,3139.93999839204
17,302.060225480015,0,3048.27044421984,304.307744952298,0,3071.18784165837,306.555233352323,0,3094.10522731127,308.80269680783,0,3117.02258894133,311.050153910604,0,3139.93999839204
18,302.068405667979,0,3048.27044421984,304.315925419181,0,3071.18784165837,306.56341403952,0,3094.10522731127,308.8108777406,0,3117.02258894133,311.058335024022,0,3139.93999839204
19,302.0762710009,0,3048.27044421984,304.323790989727,0,3071.18784165837,306.571279774457,0,3094.10522731127,308.818743595299,0,3117.02258894133,311.066200964787,0,3139.93999839204
20,302.083469178634,0,3048.27044421984,304.330989395275,0,3071.18784165837,306.57847834637,0,3094.10522731127,308.82594231564,0,3117.02258894133,311.07339979313,0,3139.93999839204
21,302.089756997487,0,3048.27044421984,304.337277422092,0,3071.18784165837,306.584766532113,0,3094.10522731127,308.832230663938,0,3117.02258894133,311.079688260551,0,3139.93999839204
22,302.095714802487,0,3048.27044421984,304.343235409726,0,3071.18784165837,306.59072464764,0,3094.10522731127,308.838188877361,0,3117.02258894133,311.085646544581,0,3139.93999839204
23,302.101694583145,0,3048.27044421984,304.349215364172,0,3071.18784165837,306.596704715348,0,3094.10522731127,308.844169005812,0,3117.02258894133,311.09162671565,0,3139.93999839204
24,302.107250427132,0,3048.27044421984,304.354771381774,0,3071.18784165837,306.602260856734,0,3094.10522731127,308.84972524867,0,3117.02258894133,311.097183032021,0,3139.93999839204
25,302.111973656156,0,3048.27044421984,304.359494771305,0,3071.18784165837,306.606984371128,0,3094.10522731127,308.854448896853,0,3117.02258894133,311.101906778498,0,3139.93999839204
26,302.116169265685,0,3048.27044421984,304.363690517689,0,3071.18784165837,306.611180219237,0,3094.10522731127,308.858644840809,0,3117.02258894133,311.106102792453,0,3139.93999839204
27,302.120774935251,0,3048.27044421984,304.368296310493,0,3071.18784165837,306.615786082285,0,3094.10522731127,308.863250708202,0,3117.02258894133,311.110708660718,0,3139.93999839204
28,302.125747220914,0,3048.27044421984,304.373268731219,0,3071.18784165837,306.620758582336,0,3094.10522731127,308.868223222038,0,3117.02258894133,311.115681182338,0,3139.93999839204
29,302.130338649928,0,3048.27044421984,304.377860304564,0,3071.18784165837,306.625350259148,0,3094.10522731127,308.872814985348,0,3117.02258894133,311.120273008389,0,3139.93999839204
30,302.134229854736,0,3048.27044421984,304.381751642038,0,3071.18784165837,306.629241699883,0,3094.10522731127,308.876706536855,0,3117.02258894133,311.124164641292,0,3139.93999839204
31,302.137586012985,0,3048.27044421984,304.385107912922,0,3071.18784165837,306.632598056582,0,3094.10522731127,308.880062980425,0,3117.02258894133,311.127521148545,0,3139.93999839204
32,302.141073127933,0,3048.27044421984,304.388595126231,0,3071.18784165837,306.636085330103,0,3094.10522731127,308.883550273251,0,3117.02258894133,311.131008454102,0,3139.93999839204
33,302.144865979496,0,3048.27044421984,304.392388080298,0,3071.18784165837,306.639878342959,0,3094.10522731127,308.887343291051,0,3117.02258894133,311.134801473653,0,3139.93999839204
34,302.148855344638,0,3048.27044421984,304.39637755659,0,3071.18784165837,306.643867886571,0,3094.10522731127,308.891332853769,0,3117.02258894133,311.138791048683,0,3139.93999839204
35,302.15259842016,0,3048.27044421984,304.400120748132,0,3071.18784165837,306.647611159325,0,3094.10522731127,308.895076188467,0,3117.02258894133,311.142534428083,0,3139.93999839204
36,302.155881685532,0,3048.27044421984,304.40340412195,0,3071.18784165837,306.650894614434,0,3094.10522731127,308.898359722104,0,3117.02258894133,311.145818019153,0,3139.93999839204
37,302.159099197047,0,3048.27044421984,304.406621729235,0,3071.18784165837,306.65411228534,0,3094.10522731127,308.901577431022,0,3117.02258894133,311.149035755027,0,3139.93999839204
38,302.162554106372,0,3048.27044421984,304.410076732976,0,3071.18784165837,306.657567344714,0,3094.10522731127,308.905032500689,0,3117.02258894133,311.152490830644,0,3139.93999839204
39,302.166047477908,0,3048.27044421984,304.413570205506,0,3071.18784165837,306.661060881911,0,3094.10522731127,308.908526068686,0,3117.02258894133,311.155984420015,0,3139.93999839204
40,302.169065126987,0,3048.27044421984,304.416587955794,0,3071.18784165837,306.664078709009,0,3094.10522731127,308.911543972668,0,3117.02258894133,311.159002380334,0,3139.93999839204
41,302.17154742021,0,3048.27044421984,304.419070336283,0,3071.18784165837,306.666561158293,0,3094.10522731127,308.914026498042,0,3117.02258894133,311.161484961732,0,3139.93999839204
42,302.173955653936,0,3048.27044421984,304.42147864252,0,3071.18784165837,306.668969512621,0,3094.10522731127,308.916434880759,0,3117.02258894133,311.163893364589,0,3139.93999839204
43,302.17654320277,0,3048.27044421984,304.424066262141,0,3071.18784165837,306.671557173435,0,3094.10522731127,308.919022547239,0,3117.02258894133,311.166481033993,0,3139.93999839204
44,302.17905203442,0,3048.27044421984,304.426575169288,0,3071.18784165837,306.674066131302,0,3094.10522731127,308.921531537238,0,3117.02258894133,311.168990046884,0,3139.93999839204
45,302.181536275356,0,3048.27044421984,304.429059483499,0,3071.18784165837,306.676550493563,0,3094.10522731127,308.924015926168,0,3117.02258894133,311.171474454607,0,3139.93999839204
46,302.184043925226,0,3048.27044421984,304.431567206032,0,3071.18784165837,306.679058262457,0,3094.10522731127,308.926523716552,0,3117.02258894133,311.173982259872,0,3139.93999839204
47,302.186574544347,0,3048.27044421984,304.434097898523,0,3071.18784165837,306.681589001618,0,3094.10522731127,308.929054476849,0,3117.02258894133,311.176513034774,0,3139.93999839204
48,302.189170447034,0,3048.27044421984,304.436693875347,0,3071.18784165837,306.684185024562,0,3094.10522731127,308.931650517161,0,3117.02258894133,311.179109086819,0,3139.93999839204
49,302.191838102412,0,3048.27044421984,304.439361606745,0,3071.18784165837,306.686852803399,0,3094.10522731127,308.934318314406,0,3117.02258894133,311.181776896541,0,3139.93999839204
50,302.194466224238,0,3048.27044421984,304.441989806444,0,3071.18784165837,306.689481054672,0,3094.10522731127,308.936946596006,0,3117.02258894133,311.184405199607,0,3139.93999839204
60,300.201793903465,0,3048.27044421984,302.449265135204,0,3071.18784165837,304.696725984913,0,3094.10522731127,306.944187374738,0,3117.02258894133,309.191643908615,0,3139.93999839204
70,299.372779581556,0,3048.27044421984,301.620223571572,0,3071.18784165837,303.867663372146,0,3094.10522731127,306.115102543129,0,3117.02258894133,308.362542782902,0,3139.93999839204
80,299.091319215086,0,3048.27044421984,301.33875354044,0,3071.18784165837,303.586185557513,0,3094.10522731127,305.833615635008,0,3117.02258894133,308.081049175338,0,3139.93999839204
90,298.997852947023,0,3048.27044421984,301.245284045955,0,3071.18784165837,303.492713452894,0,3094.10522731127,305.7401404498,0,3117.02258894133,307.987571719559,0,3139.93999839204
100,298.965846364687,0,3048.27044421984,301.213276366555,0,3071.18784165837,303.460704891786,0,3094.10522731127,305.708130863471,0,3117.02258894133,307.955561378066,0,3139.93999839204
110,298.953713334369,0,3048.27044421984,301.201142929561,0,3071.18784165837,303.448571134744,0,3094.10522731127,305.695996752435,0,3117.02258894133,307.943427006862,0,3139.93999839204
120,298.948117080963,0,3048.27044421984,301.195546495672,0,3071.18784165837,303.442974563933,0,3094.10522731127,305.69040004411,0,3117.02258894133,307.937830197949,0,3139.93999839204
130,298.944408828571,0,3048.27044421984,301.191838130278,0,3071.18784165837,303.439266117921,0,3094.10522731127,305.686691531577,0,3117.02258894133,307.934121637293,0,3139.93999839204
140,298.941276028486,0,3048.27044421984,301.188705237454,0,3071.18784165837,303.436133161261,0,3094.10522731127,305.68355852925,0,3117.02258894133,307.930988602244,0,3139.93999839204
