Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,311.696338698874,0,3132.44169559113,312.939393869088,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,315.522974374796,0,3132.44169559113,316.76602218416,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,318.070583971209,0,3132.44169559113,319.313624997817,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,319.716137451331,0,3132.44169559113,320.959173980531,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,320.792094628155,0,3132.44169559113,322.035128289938,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,321.517354962049,0,3132.44169559113,322.76038676874,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,322.011040861288,0,3132.44169559113,323.254071415571,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,322.352082046512,0,3132.44169559113,323.595111744968,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,322.599434527977,0,3132.44169559113,323.842463640073,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,322.778214132867,0,3132.44169559113,324.021242817555,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,322.909658831485,0,3132.44169559113,324.152687204261,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,323.009856486905,0,3132.44169559113,324.252884626903,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,323.08548069691,0,3132.44169559113,324.328508655683,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,323.148469548188,0,3132.44169559113,324.391497372126,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,323.206543858154,0,3132.44169559113,324.449571570039,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,323.256917634634,0,3132.44169559113,324.499945239429,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,323.293743729786,0,3132.44169559113,324.536771236161,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,323.323549285715,0,3132.44169559113,324.566576719301,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,323.3528417577,0,3132.44169559113,324.595869132731,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,323.378837098418,0,3132.44169559113,324.62186441322,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,323.400469277249,0,3132.44169559113,324.643496536926,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,323.420384541381,0,3132.44169559113,324.663411754279,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,323.439517430966,0,3132.44169559113,324.682544598789,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,323.455984761179,0,3132.44169559113,324.699011883198,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,323.468516285278,0,3132.44169559113,324.711543365849,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,323.479089806894,0,3132.44169559113,324.722116855058,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,323.492801744416,0,3132.44169559113,324.735828766804,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,323.508413493795,0,3132.44169559113,324.75144048368,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,323.521592237792,0,3132.44169559113,324.764619189382,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,323.531168541815,0,3132.44169559113,324.774195459018,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,323.538150428865,0,3132.44169559113,324.781177318447,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,323.545854692995,0,3132.44169559113,324.788881560536,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
