Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
10,299.576547070112,0,3048.27044421984,301.823992946904,0,3071.18784165837,304.071430605881,0,3094.10522731127,306.318857521441,0,3117.02258894133,308.566288422029,0,3139.93999839204
20,299.718513418616,0,3048.27044421984,301.965964783797,0,3071.18784165837,304.213407315075,0,3094.10522731127,306.460841129027,0,3117.02258894133,308.708277149732,0,3139.93999839204
30,299.748807173237,0,3048.27044421984,301.996259723066,0,3071.18784165837,304.243703310639,0,3094.10522731127,306.491138630873,0,3117.02258894133,308.738575770012,0,3139.93999839204
40,299.758352252808,0,3048.27044421984,302.005805137183,0,3071.18784165837,304.253248994917,0,3094.10522731127,306.500684632264,0,3117.02258894133,308.748122005226,0,3139.93999839204
50,299.764135330016,0,3048.27044421984,302.011588393526,0,3071.18784165837,304.259032376439,0,3094.10522731127,306.506468108594,0,3117.02258894133,308.753905549951,0,3139.93999839204
60,299.768448580089,0,3048.27044421984,302.015901773958,0,3071.18784165837,304.263345843093,0,3094.10522731127,306.510781625312,0,3117.02258894133,308.758219102158,0,3139.93999839204
70,299.772368543235,0,3048.27044421984,302.019821853199,0,3071.18784165837,304.267265995906,0,3094.10522731127,306.51470181024,0,3117.02258894133,308.762139309272,0,3139.93999839204
80,299.775637586046,0,3048.27044421984,302.023090993959,0,3071.18784165837,304.270535198282,0,3094.10522731127,306.517971037799,0,3117.02258894133,308.765408554148,0,3139.93999839204
90,299.778672213938,0,3048.27044421984,302.026125711841,0,3071.18784165837,304.273569971469,0,3094.10522731127,306.521005829054,0,3117.02258894133,308.768443357488,0,3139.93999839204
100,299.781202949572,0,3048.27044421984,302.028656523507,0,3071.18784165837,304.276100829962,0,3094.10522731127,306.523536703121,0,3117.02258894133,308.770974242023,0,3139.93999839204
110,299.208662303587,0,3048.27044421984,301.456100823126,0,3071.18784165837,303.703536372757,0,3094.10522731127,305.950970993731,0,3117.02258894133,308.198407893269,0,3139.93999839204
120,299.014163859578,0,3048.27044421984,301.261595701775,0,3071.18784165837,303.50902587192,0,3094.10522731127,305.75645420282,0,3117.02258894133,308.003886468246,0,3139.93999839204
130,298.961698572381,0,3048.27044421984,301.209128504037,0,3071.18784165837,303.456557056184,0,3094.10522731127,305.703983285296,0,3117.02258894133,307.951413995584,0,3139.93999839204
140,298.947600361046,0,3048.27044421984,301.195029778534,0,3071.18784165837,303.442457895789,0,3094.10522731127,305.689883561472,0,3117.02258894133,307.937313854878,0,3139.93999839204
150,298.94336995667,0,3048.27044421984,301.190799224132,0,3071.18784165837,303.438227218444,0,3094.10522731127,305.685652734994,0,3117.02258894133,307.93308291831,0,3139.93999839204
160,298.941976033908,0,3048.27044421984,301.189405252863,0,3071.18784165837,303.436833209051,0,3094.10522731127,305.684258683723,0,3117.02258894133,307.931688836222,0,3139.93999839204
170,298.941337515834,0,3048.27044421984,301.188766713915,0,3071.18784165837,303.43619465531,0,3094.10522731127,305.683620118214,0,3117.02258894133,307.931050262175,0,3139.93999839204
180,298.94080575529,0,3048.27044421984,301.188234937398,0,3071.18784165837,303.435662868663,0,3094.10522731127,305.683088327136,0,3117.02258894133,307.930518468029,0,3139.93999839204
190,298.940136244518,0,3048.27044421984,301.187565407332,0,3071.18784165837,303.434993326777,0,3094.10522731127,305.682418781462,0,3117.02258894133,307.929848919848,0,3139.93999839204
200,298.939283724635,0,3048.27044421984,301.186712862987,0,3071.18784165837,303.434140767081,0,3094.10522731127,305.681566215516,0,3117.02258894133,307.92899634964,0,3139.93999839204
210,298.938258552002,0,3048.27044421984,301.18568766086,0,3071.18784165837,303.433115546155,0,3094.10522731127,305.680540985919,0,3117.02258894133,307.927971114049,0,3139.93999839204
220,298.937102566307,0,3048.27044421984,301.184531641759,0,3071.18784165837,303.431959505547,0,3094.10522731127,305.679384934659,0,3117.02258894133,307.926815055371,0,3139.93999839204
230,298.935739036222,0,3048.27044421984,301.183168072449,0,3071.18784165837,303.430595910959,0,3094.10522731127,305.678021327443,0,3117.02258894133,307.925451439361,0,3139.93999839204
240,298.934493647641,0,3048.27044421984,301.181922647201,0,3071.18784165837,303.429350461362,0,3094.10522731127,305.676775863293,0,3117.02258894133,307.924205964905,0,3139.93999839204
250,298.93325956846,0,3048.27044421984,301.180688531968,0,3071.18784165837,303.428116322509,0,3094.10522731127,305.675541711362,0,3117.02258894133,307.922971803772,0,3139.93999839204
260,298.93197595408,0,3048.27044421984,301.179404880266,0,3071.18784165837,303.426832646456,0,3094.10522731127,305.674258022156,0,3117.02258894133,307.921688105331,0,3139.93999839204
270,298.930741402441,0,3048.27044421984,301.178170292474,0,3071.18784165837,303.425598034846,0,3094.10522731127,305.673023396921,0,3117.02258894133,307.920453470484,0,3139.93999839204
280,298.929502836667,0,3048.27044421984,301.176931690581,0,3071.18784165837,303.424359409291,0,3094.10522731127,305.671784758271,0,3117.02258894133,307.919214822621,0,3139.93999839204
290,298.928268353656,0,3048.27044421984,301.175697171551,0,3071.18784165837,303.423124866669,0,3094.10522731127,305.670550202607,0,3117.02258894133,307.917980257781,0,3139.93999839204
300,298.927067212267,0,3048.27044421984,301.174495995041,0,3071.18784165837,303.421923667074,0,3094.10522731127,305.669348989986,0,3117.02258894133,307.916779035978,0,3139.93999839204
310,298.925741108515,0,3048.27044421984,301.173169852972,0,3071.18784165837,303.420597500123,0,3094.10522731127,305.668022809976,0,3117.02258894133,307.915452846829,0,3139.93999839204
320,298.924433013997,0,3048.27044421984,301.171861720281,0,3071.18784165837,303.419289342292,0,3094.10522731127,305.666714637791,0,3117.02258894133,307.914144664519,0,3139.93999839204
330,298.923319422809,0,3048.27044421984,301.170748096104,0,3071.18784165837,303.418175696012,0,3094.10522731127,305.665600977661,0,3117.02258894133,307.913030994542,0,3139.93999839204
340,298.92237123384,0,3048.27044421984,301.169799879041,0,3071.18784165837,303.417227460174,0,3094.10522731127,305.66465273022,0,3117.02258894133,307.912082738859,0,3139.93999839204
350,298.921582661496,0,3048.27044421984,301.169011283256,0,3071.18784165837,303.416438848771,0,3094.10522731127,305.663864109328,0,3117.02258894133,307.91129411123,0,3139.93999839204
360,298.920855372105,0,3048.27044421984,301.168283972468,0,3071.18784165837,303.415711524024,0,3094.10522731127,305.663136777074,0,3117.02258894133,307.910566773701,0,3139.93999839204
370,298.920131008743,0,3048.27044421984,301.167559587957,0,3071.18784165837,303.414987125842,0,3094.10522731127,305.662412371955,0,3117.02258894133,307.909842363732,0,3139.93999839204
380,298.919414326683,0,3048.27044421984,301.166842884972,0,3071.18784165837,303.414270409255,0,3094.10522731127,305.661695648204,0,3117.02258894133,307.909125634959,0,3139.93999839204
390,298.918770093987,0,3048.27044421984,301.166198633294,0,3071.18784165837,303.413626145056,0,3094.10522731127,305.66105137681,0,3117.02258894133,307.908481358482,0,3139.93999839204
400,298.918226557024,0,3048.27044421984,301.165655080206,0,3071.18784165837,303.413082581255,0,3094.10522731127,305.660507806603,0,3117.02258894133,307.907937783733,0,3139.93999839204
410,298.917731723791,0,3048.27044421984,301.165160232405,0,3071.18784165837,303.412587723906,0,3094.10522731127,305.660012943971,0,3117.02258894133,307.907442917379,0,3139.93999839204
420,298.917315300462,0,3048.27044421984,301.164743796703,0,3071.18784165837,303.412171280082,0,3094.10522731127,305.659596495619,0,3117.02258894133,307.907026465832,0,3139.93999839204
