Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,394.980533313195,0.331571589653697,3048.27044421984,309.46682484617,3.12828267378964e-11,3071.18784165837,311.720210920178,0,3094.10522731127,313.965065712544,0,3117.02258894133,316.208455613811,0,3139.93999839204
2,360.618854703559,0.43163068774966,3048.27044421984,311.452439929649,0.0147208770480974,3071.18784165837,313.70545661156,0,3094.10522731127,315.959861558981,0,3117.02258894133,318.210434271406,0,3139.93999839204
3,348.177992781133,0.481991771454458,3048.27044421984,312.293343555476,0.0551868365884236,3071.18784165837,314.513285055975,0,3094.10522731127,316.755347448688,0,3117.02258894133,318.997513804127,0,3139.93999839204
4,342.377767858727,0.513794345099312,3048.27044421984,312.824924642802,0.110308848597334,3071.18784165837,315.006804557173,0.000255395654587931,3094.10522731127,317.234209851426,0,3117.02258894133,319.466070565494,0,3139.93999839204
5,338.958872197192,0.536337863920697,3048.27044421984,313.225430130534,0.171666561960958,3071.18784165837,315.366438399,0.00341097370216476,3094.10522731127,317.578751201067,0,3117.02258894133,319.800100588159,0,3139.93999839204
6,336.667470427535,0.553455276436503,3048.27044421984,313.537588717946,0.232567539030403,3071.18784165837,315.635685747306,0.00979948158811837,3094.10522731127,317.835735973199,0,3117.02258894133,320.048965190613,0,3139.93999839204
7,334.972337859578,0.567057825332485,3048.27044421984,313.674596853137,0.284394614464991,3071.18784165837,315.74605406183,0.018698159253766,3094.10522731127,317.941750485127,0,3117.02258894133,320.152818315496,0,3139.93999839204
8,333.634564386304,0.578222158973086,3048.27044421984,313.673492676739,0.324717382282232,3071.18784165837,315.735532980184,0.0294430389278045,3094.10522731127,317.931160708995,0,3117.02258894133,320.143278393558,0,3139.93999839204
9,332.585432656818,0.587608537610943,3048.27044421984,313.648985477101,0.354811188387638,3071.18784165837,315.712767417509,0.0415101601272803,3094.10522731127,317.909178224305,0,3117.02258894133,320.12301154602,0,3139.93999839204
10,331.742560380969,0.595648652965019,3048.27044421984,313.629305534523,0.376805306749242,3071.18784165837,315.700552520215,0.0544278068555342,3094.10522731127,317.897188801979,0,3117.02258894133,320.112404987494,0,3139.93999839204
11,331.014712876461,0.602639003690332,3048.27044421984,313.581871692239,0.392680208671545,3071.18784165837,315.662510463097,0.0678203123410407,3094.10522731127,317.858421126488,0,3117.02258894133,320.074459004565,0,3139.93999839204
12,330.375378211239,0.608791263197895,3048.27044421984,313.510918266791,0.404009144769268,3071.18784165837,315.601257224729,0.0814799623616258,3094.10522731127,317.79559064053,0,3117.02258894133,320.012021053736,0,3139.93999839204
13,329.817486573582,0.614261196977909,3048.27044421984,313.432170277105,0.411838031997914,3071.18784165837,315.532637059742,0.095322287843972,3094.10522731127,317.724686525397,0,3117.02258894133,319.941218118413,0,3139.93999839204
