Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
10,240.013551122436,0,2416.1027392714,242.114403846558,0,2437.52627125632,244.215276532187,0,2458.94980852729,246.31610721845,0,2480.37334520754,248.416962828268,0,2501.796877923
20,240.376272175885,0,2416.1027392714,242.4771176269,0,2437.52627125632,244.577988486311,0,2458.94980852729,246.678824586139,0,2480.37334520754,248.779684225192,0,2501.796877923
30,240.420284072599,0,2416.1027392714,242.521128658557,0,2437.52627125632,244.621999583803,0,2458.94980852729,246.72283747662,0,2480.37334520754,248.823698453407,0,2501.796877923
40,240.395657564673,0,2416.1027392714,242.496502677061,0,2437.52627125632,244.597374135433,0,2458.94980852729,246.698213264394,0,2480.37334520754,248.799075165784,0,2501.796877923
50,240.36591312595,0,2416.1027392714,242.4667588325,0,2437.52627125632,244.567630739847,0,2458.94980852729,246.668470643392,0,2480.37334520754,248.769333124775,0,2501.796877923
60,240.346059079042,0,2416.1027392714,242.446905139147,0,2437.52627125632,244.547777292479,0,2458.94980852729,246.64861757038,0,2480.37334520754,248.749480332311,0,2501.796877923
70,240.332921859467,0,2416.1027392714,242.43376813625,0,2437.52627125632,244.534640440201,0,2458.94980852729,246.635480946946,0,2480.37334520754,248.736343880363,0,2501.796877923
80,240.319127669575,0,2416.1027392714,242.419974224983,0,2437.52627125632,244.520846730157,0,2458.94980852729,246.621687562922,0,2480.37334520754,248.722550740367,0,2501.796877923
90,240.302504185317,0,2416.1027392714,242.403351124435,0,2437.52627125632,244.504223902488,0,2458.94980852729,246.605065167738,0,2480.37334520754,248.705928668804,0,2501.796877923
100,240.288322092963,0,2416.1027392714,242.389169354634,0,2437.52627125632,244.490042351719,0,2458.94980852729,246.590883938495,0,2480.37334520754,248.691747680197,0,2501.796877923
110,240.282886333527,0,2416.1027392714,242.383733655527,0,2437.52627125632,244.484606682224,0,2458.94980852729,246.585448282576,0,2480.37334520754,248.686312034547,0,2501.796877923
120,240.287642224682,0,2416.1027392714,242.388489303671,0,2437.52627125632,244.489362152862,0,2458.94980852729,246.590203459385,0,2480.37334520754,248.6910669916,0,2501.796877923
130,240.302129227271,0,2416.1027392714,242.402975801347,0,2437.52627125632,244.503848290349,0,2458.94980852729,246.604689022737,0,2480.37334520754,248.705552125291,0,2501.796877923
140,240.341097317319,0,2416.1027392714,242.441942627195,0,2437.52627125632,244.542814220909,0,2458.94980852729,246.643653541249,0,2480.37334520754,248.744515587403,0,2501.796877923
150,240.387430022155,0,2416.1027392714,242.488273873419,0,2437.52627125632,244.589144477076,0,2458.94980852729,246.689982342603,0,2480.37334520754,248.790843300171,0,2501.796877923
160,238.678999538866,0,2416.1027392714,240.779888016314,0,2437.52627125632,242.880793333407,0,2458.94980852729,244.981693574604,0,2480.37334520754,247.082601200426,0,2501.796877923
170,237.818543190409,0,2416.1027392714,239.919452452277,0,2437.52627125632,242.020370516174,0,2458.94980852729,244.121285901864,0,2480.37334520754,246.222204876611,0,2501.796877923
180,237.487424328667,0,2416.1027392714,239.588341421835,0,2437.52627125632,241.689263845064,0,2458.94980852729,243.790183135172,0,2480.37334520754,245.891105040081,0,2501.796877923
190,237.364351269207,0,2416.1027392714,239.465271278504,0,2437.52627125632,241.566195294317,0,2458.94980852729,243.667115914426,0,2480.37334520754,245.768038817711,0,2501.796877923
200,237.316369601908,0,2416.1027392714,239.417290772252,0,2437.52627125632,241.518215429291,0,2458.94980852729,243.619136608966,0,2480.37334520754,245.720059931958,0,2501.796877923
210,237.294642164799,0,2416.1027392714,239.395563887998,0,2437.52627125632,241.496488862436,0,2458.94980852729,243.597410358444,0,2480.37334520754,245.698333918362,0,2501.796877923
220,237.283917620443,0,2416.1027392714,239.384839635889,0,2437.52627125632,241.485764776814,0,2458.94980852729,243.586686435595,0,2480.37334520754,245.687610117255,0,2501.796877923
230,237.27752694779,0,2416.1027392714,239.378449150446,0,2437.52627125632,241.479374399117,0,2458.94980852729,243.580296167123,0,2480.37334520754,245.681219930356,0,2501.796877923
240,237.272128371507,0,2416.1027392714,239.373050739724,0,2437.52627125632,241.473976089053,0,2458.94980852729,243.574897975537,0,2480.37334520754,245.675821827249,0,2501.796877923
250,237.267836658891,0,2416.1027392714,239.368759165568,0,2437.52627125632,241.46968459588,0,2458.94980852729,243.57060656874,0,2480.37334520754,245.67153048489,0,2501.796877923
260,237.264567172591,0,2416.1027392714,239.365489788634,0,2437.52627125632,241.466415280346,0,2458.94980852729,243.567337311264,0,2480.37334520754,245.668261270657,0,2501.796877923
270,237.261475796802,0,2416.1027392714,239.362398516573,0,2437.52627125632,241.463324068811,0,2458.94980852729,243.564246164032,0,2480.37334520754,245.665170171357,0,2501.796877923
280,237.259069775672,0,2416.1027392714,239.359992586592,0,2437.52627125632,241.46091818911,0,2458.94980852729,243.561840329198,0,2480.37334520754,245.662764369916,0,2501.796877923
290,237.257120945104,0,2416.1027392714,239.358043844734,0,2437.52627125632,241.458969495141,0,2458.94980852729,243.559891674783,0,2480.37334520754,245.660815744909,0,2501.796877923
300,237.254811038169,0,2416.1027392714,239.355734033492,0,2437.52627125632,241.456659739437,0,2458.94980852729,243.557581977285,0,2480.37334520754,245.658506090787,0,2501.796877923
310,237.252599894584,0,2416.1027392714,239.353522975804,0,2437.52627125632,241.454448731122,0,2458.94980852729,243.555371019234,0,2480.37334520754,245.656295170195,0,2501.796877923
320,237.251181780734,0,2416.1027392714,239.35210493683,0,2437.52627125632,241.453030731193,0,2458.94980852729,243.553953047132,0,2480.37334520754,245.654877218761,0,2501.796877923
330,237.249963680772,0,2416.1027392714,239.350886910909,0,2437.52627125632,241.451812744732,0,2458.94980852729,243.552735091662,0,2480.37334520754,245.653659286324,0,2501.796877923
340,237.248609216441,0,2416.1027392714,239.349532517607,0,2437.52627125632,241.45045839087,0,2458.94980852729,243.551380773887,0,2480.37334520754,245.652304995408,0,2501.796877923
350,237.247751873271,0,2416.1027392714,239.348675226391,0,2437.52627125632,241.449601125471,0,2458.94980852729,243.550523522757,0,2480.37334520754,245.651447754822,0,2501.796877923
360,237.246730534825,0,2416.1027392714,239.347653948354,0,2437.52627125632,241.448579880494,0,2458.94980852729,243.549502306562,0,2480.37334520754,245.650426560034,0,2501.796877923
370,237.245168572632,0,2416.1027392714,239.346092063088,0,2437.52627125632,241.447018040986,0,2458.94980852729,243.547940518241,0,2480.37334520754,245.648864809905,0,2501.796877923
380,237.243684630434,0,2416.1027392714,239.344608192079,0,2437.52627125632,241.445534211428,0,2458.94980852729,243.546456732384,0,2480.37334520754,245.64738105666,0,2501.796877923
390,237.24313708866,0,2416.1027392714,239.344060681174,0,2437.52627125632,241.44498671418,0,2458.94980852729,243.545909236811,0,2480.37334520754,245.64683356226,0,2501.796877923
400,237.242658785461,0,2416.1027392714,239.343582399407,0,2437.52627125632,241.444508442614,0,2458.94980852729,243.545430969406,0,2480.37334520754,245.646355297889,0,2501.796877923
410,237.241462183597,0,2416.1027392714,239.342385842041,0,2437.52627125632,241.443311913416,0,2458.94980852729,243.54423447665,0,2480.37334520754,245.645158832338,0,2501.796877923
420,237.239981100189,0,2416.1027392714,239.340904807156,0,2437.52627125632,241.441830910095,0,2458.94980852729,243.542753516305,0,2480.37334520754,245.643677904124,0,2501.796877923
430,237.238471260799,0,2416.1027392714,239.339395014595,0,2437.52627125632,241.440321148515,0,2458.94980852729,243.54124379818,0,2480.37334520754,245.642168218516,0,2501.796877923
440,237.236857261133,0,2416.1027392714,239.33778105313,0,2437.52627125632,241.438707213517,0,2458.94980852729,243.539629903408,0,2480.37334520754,245.640554353846,0,2501.796877923
