Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,276.717574220713,0,2701.15745763255,278.973977721249,0,2724.17271684071,281.230057413014,0,2747.18794345351,283.483806172553,0,2770.20317064698,285.738201263495,0,2793.21842754866
2,287.469122479507,0,2701.15745763255,289.725446015562,0,2724.17271684071,291.981541185176,0,2747.18794345351,294.2355802618,0,2770.20317064698,296.490208805827,0,2793.21842754866
3,295.098318522471,0,2701.15745763255,297.354690744581,0,2724.17271684071,299.610975766122,0,2747.18794345351,301.865875089007,0,2770.20317064698,304.12119524713,0,2793.21842754866
4,300.299673559718,0,2701.15745763255,302.556095476017,0,2724.17271684071,304.812534257247,0,2747.18794345351,307.0681033734,0,2770.20317064698,309.323962039743,0,2793.21842754866
5,303.895835379638,0,2701.15745763255,306.152290028597,0,2724.17271684071,308.408830439772,0,2747.18794345351,310.664842568573,0,2770.20317064698,312.921057422985,0,2793.21842754866
6,306.439553253721,0,2701.15745763255,308.696027903352,0,2724.17271684071,310.952634214649,0,2747.18794345351,313.208936820569,0,2770.20317064698,315.465385228238,0,2793.21842754866
7,308.298591178059,0,2701.15745763255,310.555076867047,0,2724.17271684071,312.811725051667,0,2747.18794345351,315.068216609458,0,2770.20317064698,317.324816948237,0,2793.21842754866
8,309.709562877704,0,2701.15745763255,311.966053802558,0,2724.17271684071,314.222728380474,0,2747.18794345351,316.479343557545,0,2770.20317064698,318.736043302509,0,2793.21842754866
9,310.817920715808,0,2701.15745763255,313.074413486449,0,2724.17271684071,315.331105027858,0,2747.18794345351,317.587803645604,0,2770.20317064698,319.844570493574,0,2793.21842754866
10,311.727572066941,0,2701.15745763255,313.984064158691,0,2724.17271684071,316.24076588086,0,2747.18794345351,318.4975192651,0,2770.20317064698,320.754330163651,0,2793.21842754866
11,312.4963304925,0,2701.15745763255,314.752820713571,0,2724.17271684071,317.009528944819,0,2747.18794345351,319.266321115027,0,2770.20317064698,321.523163214999,0,2793.21842754866
12,313.149641961446,0,2701.15745763255,315.406130369013,0,2724.17271684071,317.662843796037,0,2747.18794345351,319.919667766209,0,2770.20317064698,322.176535448615,0,2793.21842754866
13,313.731043096173,0,2701.15745763255,315.987528516583,0,2724.17271684071,318.244244234056,0,2747.18794345351,320.501087965113,0,2770.20317064698,322.757971552043,0,2793.21842754866
14,314.247219892631,0,2701.15745763255,316.503702657579,0,2724.17271684071,318.760420481585,0,2747.18794345351,321.017282145165,0,2770.20317064698,323.274180164275,0,2793.21842754866
15,314.711261085997,0,2701.15745763255,316.967741074278,0,2724.17271684071,319.224460246041,0,2747.18794345351,321.481336212199,0,2770.20317064698,323.738245744443,0,2793.21842754866
16,315.135853451555,0,2701.15745763255,317.392330570165,0,2724.17271684071,319.649050375304,0,2747.18794345351,321.905937169483,0,2770.20317064698,324.162855421138,0,2793.21842754866
17,315.530984806055,0,2701.15745763255,317.787458813458,0,2724.17271684071,320.044178595074,0,2747.18794345351,322.301073433539,0,2770.20317064698,324.557998166247,0,2793.21842754866
18,315.889206028515,0,2701.15745763255,318.14567747861,0,2724.17271684071,320.402397908165,0,2747.18794345351,322.659302832186,0,2770.20317064698,324.916235684969,0,2793.21842754866
19,316.220178799605,0,2701.15745763255,318.476647403382,0,2724.17271684071,320.733367812173,0,2747.18794345351,322.990280101813,0,2770.20317064698,325.247218888035,0,2793.21842754866
20,316.535761011952,0,2701.15745763255,318.792226357667,0,2724.17271684071,321.04894590891,0,2747.18794345351,323.30586228996,0,2770.20317064698,325.562804378088,0,2793.21842754866
21,316.840165905432,0,2701.15745763255,319.096627780172,0,2724.17271684071,321.353346133673,0,2747.18794345351,323.610265395661,0,2770.20317064698,325.867209812245,0,2793.21842754866
22,317.12800631784,0,2701.15745763255,319.384464833793,0,2724.17271684071,321.641182322559,0,2747.18794345351,323.898105905828,0,2770.20317064698,326.155053808192,0,2793.21842754866
23,317.410085620993,0,2701.15745763255,319.666540066723,0,2724.17271684071,321.923255740838,0,2747.18794345351,324.180180571588,0,2770.20317064698,326.437129489722,0,2793.21842754866
24,317.684130150836,0,2701.15745763255,319.940580797445,0,2724.17271684071,322.197294924115,0,2747.18794345351,324.454221679459,0,2770.20317064698,326.711172157465,0,2793.21842754866
25,317.96784853165,0,2701.15745763255,320.224294475256,0,2724.17271684071,322.481005654251,0,2747.18794345351,324.737929420416,0,2770.20317064698,326.994877510001,0,2793.21842754866
26,318.241588397987,0,2701.15745763255,320.498030472165,0,2724.17271684071,322.754740160742,0,2747.18794345351,325.01166633428,0,2770.20317064698,327.268616371423,0,2793.21842754866
27,318.522376848829,0,2701.15745763255,320.778814534051,0,2724.17271684071,323.035521571171,0,2747.18794345351,325.292445471992,0,2770.20317064698,327.549393695867,0,2793.21842754866
28,318.821939112914,0,2701.15745763255,321.078371737009,0,2724.17271684071,323.335075180443,0,2747.18794345351,325.591993667599,0,2770.20317064698,327.848937555722,0,2793.21842754866
29,319.12271909264,0,2701.15745763255,321.379147094767,0,2724.17271684071,323.63584807528,0,2747.18794345351,325.892765883276,0,2770.20317064698,328.149709239899,0,2793.21842754866
30,319.402605700826,0,2701.15745763255,321.659030626632,0,2724.17271684071,323.91573110343,0,2747.18794345351,326.172654368231,0,2770.20317064698,328.429602122904,0,2793.21842754866
31,319.707155879479,0,2701.15745763255,321.963575601233,0,2724.17271684071,324.220272102884,0,2747.18794345351,326.477188339622,0,2770.20317064698,328.734130463393,0,2793.21842754866
32,320.026518928632,0,2701.15745763255,322.282933614837,0,2724.17271684071,324.539626774099,0,2747.18794345351,326.796538826599,0,2770.20317064698,329.053477608064,0,2793.21842754866
33,320.331073832004,0,2701.15745763255,322.587485092072,0,2724.17271684071,324.844177290714,0,2747.18794345351,327.101093323849,0,2770.20317064698,329.358035324653,0,2793.21842754866
34,320.613240259863,0,2701.15745763255,322.869649116366,0,2724.17271684071,325.126341282425,0,2747.18794345351,327.383263430236,0,2770.20317064698,329.640210366566,0,2793.21842754866
35,320.91472147822,0,2701.15745763255,323.171125683793,0,2724.17271684071,325.427814519324,0,2747.18794345351,327.684731464076,0,2770.20317064698,329.94167426131,0,2793.21842754866
36,321.243396500683,0,2701.15745763255,323.499795285496,0,2724.17271684071,325.756480041942,0,2747.18794345351,328.013389808677,0,2770.20317064698,330.270326912417,0,2793.21842754866
37,321.573794959012,0,2701.15745763255,323.830190140141,0,2724.17271684071,326.086873152393,0,2747.18794345351,328.343783016502,0,2770.20317064698,330.600720303066,0,2793.21842754866
38,321.866355440532,0,2701.15745763255,324.122749863793,0,2724.17271684071,326.379434714119,0,2747.18794345351,328.63635575237,0,2770.20317064698,330.893302147662,0,2793.21842754866
39,322.178702994969,0,2701.15745763255,324.435094082836,0,2724.17271684071,326.691776587667,0,2747.18794345351,328.948693322132,0,2770.20317064698,331.205636483949,0,2793.21842754866
40,322.507770987552,0,2701.15745763255,324.764158863339,0,2724.17271684071,327.02083997585,0,2747.18794345351,329.277755281889,0,2770.20317064698,331.534697862847,0,2793.21842754866
41,322.854090957871,0,2701.15745763255,325.110477111363,0,2724.17271684071,327.367158639187,0,2747.18794345351,329.624075359738,0,2770.20317064698,331.881020196464,0,2793.21842754866
42,323.148908254222,0,2701.15745763255,325.405298166624,0,2724.17271684071,327.661987614866,0,2747.18794345351,329.918927833152,0,2770.20317064698,332.175893237825,0,2793.21842754866
43,323.391646681824,0,2701.15745763255,325.648043375285,0,2724.17271684071,327.904743283795,0,2747.18794345351,330.16170995264,0,2770.20317064698,332.418698785855,0,2793.21842754866
44,323.669481455458,0,2701.15745763255,325.925888999182,0,2724.17271684071,328.182601073893,0,2747.18794345351,330.439580374948,0,2770.20317064698,332.696582496412,0,2793.21842754866
45,323.988329067772,0,2701.15745763255,326.244779644788,0,2724.17271684071,328.501536051091,0,2747.18794345351,330.758565849972,0,2770.20317064698,333.015615012979,0,2793.21842754866
46,324.314262618735,0,2701.15745763255,326.570809636874,0,2724.17271684071,328.827665019903,0,2747.18794345351,331.084819422731,0,2770.20317064698,333.341981837022,0,2793.21842754866
47,324.589647554005,0,2701.15745763255,326.846345676154,0,2724.17271684071,329.103357248277,0,2747.18794345351,331.360719588157,0,2770.20317064698,333.618069917232,0,2793.21842754866
48,324.837363149462,0,2701.15745763255,327.094252183114,0,2724.17271684071,329.351459154842,0,2747.18794345351,331.609074888559,0,2770.20317064698,333.866655806522,0,2793.21842754866
49,325.078912806751,0,2701.15745763255,327.336153108645,0,2724.17271684071,329.593642895065,0,2747.18794345351,331.851568647914,0,2770.20317064698,334.109421200012,0,2793.21842754866
50,325.364341239913,0,2701.15745763255,327.623189696262,0,2724.17271684071,329.881553249074,0,2747.18794345351,332.140101884744,0,2770.20317064698,334.398419985842,0,2793.21842754866
60,300.762431958621,0.0744652592160853,2701.15745763255,303.026732008338,0,2724.17271684071,305.287785321093,0,2747.18794345351,307.548315951619,0,2770.20317064698,309.807969091937,0,2793.21842754866
70,285.462248105324,0.234562027277964,2701.15745763255,287.666076422587,0,2724.17271684071,289.90877885613,0,2747.18794345351,292.154556199703,0,2770.20317064698,294.402671797181,0,2793.21842754866
80,276.956751244655,0.332283353199098,2701.15745763255,279.152797743157,0,2724.17271684071,281.399161187501,0,2747.18794345351,283.647658144152,0,2770.20317064698,285.897903486978,0,2793.21842754866
90,272.44929017796,0.387391900878858,2701.15745763255,274.656102677955,0,2724.17271684071,276.906540902017,0,2747.18794345351,279.158198372398,0,2770.20317064698,281.410930884372,0,2793.21842754866
100,270.111239683949,0.422912473390687,2701.15745763255,272.32544741992,0,2724.17271684071,274.577907808705,0,2747.18794345351,276.831138099323,0,2770.20317064698,279.085111201918,0,2793.21842754866
110,268.899712218188,0.449660208365364,2701.15745763255,271.116002240015,0,2724.17271684071,273.369375132218,0,2747.18794345351,275.623314290234,0,2770.20317064698,277.877847675945,0,2793.21842754866
120,268.26197141389,0.472779524988942,2701.15745763255,270.475895342857,0,2724.17271684071,272.729659331958,0,2747.18794345351,274.983910712815,0,2770.20317064698,277.238694656653,0,2793.21842754866
130,267.913279957218,0.494425087370291,2701.15745763255,270.121496541309,0,2724.17271684071,272.375432590855,0,2747.18794345351,274.629833177823,0,2770.20317064698,276.884741189596,0,2793.21842754866
140,267.707650133967,0.515073572471392,2701.15745763255,269.907598503527,0,2724.17271684071,272.161630409251,0,2747.18794345351,274.416123670975,0,2770.20317064698,276.671111593473,0,2793.21842754866
150,267.577713164289,0.534774693811412,2701.15745763255,269.767800349054,0,2724.17271684071,272.021939950119,0,2747.18794345351,274.27653402037,0,2770.20317064698,276.531607227003,0,2793.21842754866
160,267.482228251426,0.553030169788764,2701.15745763255,269.663084130041,0,2724.17271684071,271.917416597907,0,2747.18794345351,274.172177804603,0,2770.20317064698,276.427387481522,0,2793.21842754866
170,267.402970465033,0.569403995181387,2701.15745763255,269.576410243839,0,2724.17271684071,271.831003302681,0,2747.18794345351,274.085983898561,0,2770.20317064698,276.341370289912,0,2793.21842754866
180,267.336592379734,0.583859155277608,2701.15745763255,269.503941808347,0,2724.17271684071,271.758804824846,0,2747.18794345351,274.014009721626,0,2770.20317064698,276.269575722144,0,2793.21842754866
190,267.273183450357,0.596517808209488,2701.15745763255,269.435597056965,0,2724.17271684071,271.690716878612,0,2747.18794345351,273.94613475423,0,2770.20317064698,276.201871084461,0,2793.21842754866
200,267.211929121461,0.60768746737809,2701.15745763255,269.369224411541,0,2724.17271684071,271.62456129208,0,2747.18794345351,273.880159495645,0,2770.20317064698,276.136040165027,0,2793.21842754866
210,267.155073277304,0.617609982945373,2701.15745763255,269.307042332793,0,2724.17271684071,271.562564155726,0,2747.18794345351,273.818316094411,0,2770.20317064698,276.07431986525,0,2793.21842754866
220,267.097679434063,0.626287645337596,2701.15745763255,269.246611843997,0,2724.17271684071,271.502317957182,0,2747.18794345351,273.758223246413,0,2770.20317064698,276.014349793682,0,2793.21842754866
230,267.038579766161,0.633790273677455,2701.15745763255,269.186687494337,0,2724.17271684071,271.442567185002,0,2747.18794345351,273.698617305417,0,2770.20317064698,275.954859901846,0,2793.21842754866
240,266.982096609018,0.64025377343641,2701.15745763255,269.130893630786,0,2724.17271684071,271.38692681171,0,2747.18794345351,273.643105113091,0,2770.20317064698,275.899450461279,0,2793.21842754866
250,266.929290089452,0.645970688254622,2701.15745763255,269.076995410991,0,2724.17271684071,271.333141051965,0,2747.18794345351,273.589413432447,0,2770.20317064698,275.845834259918,0,2793.21842754866
260,266.876477944128,0.651139513126377,2701.15745763255,269.02139063465,0,2724.17271684071,271.277620417577,0,2747.18794345351,273.533963137299,0,2770.20317064698,275.790440374615,0,2793.21842754866
270,266.824789045185,0.655791123094956,2701.15745763255,268.967893938434,0,2724.17271684071,271.224202207804,0,2747.18794345351,273.480610144864,0,2770.20317064698,275.737139560493,0,2793.21842754866
280,266.773955358936,0.659925676682113,2701.15745763255,268.917270068046,0,2724.17271684071,271.173655892404,0,2747.18794345351,273.430128335697,0,2770.20317064698,275.686709357743,0,2793.21842754866
290,266.720873401207,0.663588119530099,2701.15745763255,268.86554802735,0,2724.17271684071,271.122004534502,0,2747.18794345351,273.378535884023,0,2770.20317064698,275.635164017117,0,2793.21842754866
300,266.666900685303,0.666829953627065,2701.15745763255,268.813746636827,0,2724.17271684071,271.070265957199,0,2747.18794345351,273.326849607105,0,2770.20317064698,275.583519539879,0,2793.21842754866
310,266.614437801936,0.669701620797483,2701.15745763255,268.764039024149,0,2724.17271684071,271.020613496193,0,2747.18794345351,273.27724297409,0,2770.20317064698,275.533949506626,0,2793.21842754866
320,266.56020851775,0.67225159513723,2701.15745763255,268.712902949845,0,2724.17271684071,270.969525315773,0,2747.18794345351,273.226194599553,0,2770.20317064698,275.482932889993,0,2793.21842754866
330,266.506457658865,0.674579489535109,2701.15745763255,268.660000110567,0,2724.17271684071,270.916656186219,0,2747.18794345351,273.17335334674,0,2770.20317064698,275.430113823552,0,2793.21842754866
340,266.455942231561,0.676806448520208,2701.15745763255,268.605953934077,0,2724.17271684071,270.86262665006,0,2747.18794345351,273.119337384203,0,2770.20317064698,275.376108666136,0,2793.21842754866
350,266.403611275297,0.678963448990425,2701.15745763255,268.548635465208,0,2724.17271684071,270.805320132544,0,2747.18794345351,273.062040349962,0,2770.20317064698,275.318819113325,0,2793.21842754866
360,266.349083392088,0.680993718124374,2701.15745763255,268.492024099887,0,2724.17271684071,270.748728122873,0,2747.18794345351,273.005463743119,0,2770.20317064698,275.262254621337,0,2793.21842754866
370,266.293542905024,0.682872530886704,2701.15745763255,268.436420094644,0,2724.17271684071,270.693146489313,0,2747.18794345351,272.949899920964,0,2770.20317064698,275.206704782358,0,2793.21842754866
380,266.236460873857,0.68459649916977,2701.15745763255,268.380517795841,0,2724.17271684071,270.637266743543,0,2747.18794345351,272.894038122321,0,2770.20317064698,275.150857044427,0,2793.21842754866
390,266.178360162002,0.68617095191503,2701.15745763255,268.324446725141,0,2724.17271684071,270.581217225586,0,2747.18794345351,272.83800568649,0,2770.20317064698,275.094837960469,0,2793.21842754866
400,266.120440017666,0.687606005850817,2701.15745763255,268.269090900764,0,2724.17271684071,270.525881313071,0,2747.18794345351,272.782685444707,0,2770.20317064698,275.039529931719,0,2793.21842754866
410,266.062617580009,0.688914774058922,2701.15745763255,268.214075634592,0,2724.17271684071,270.470883940604,0,2747.18794345351,272.727702029172,0,2770.20317064698,274.984557341535,0,2793.21842754866
420,266.005061441757,0.690113604545852,2701.15745763255,268.159163541222,0,2724.17271684071,270.415987262066,0,2747.18794345351,272.672817154759,0,2770.20317064698,274.929681534896,0,2793.21842754866
430,265.947133067824,0.691217178620577,2701.15745763255,268.103643477012,0,2724.17271684071,270.360480406906,0,2747.18794345351,272.617320209053,0,2770.20317064698,274.874192117068,0,2793.21842754866
440,265.889075182185,0.692241592892088,2701.15745763255,268.047436653036,0,2724.17271684071,270.304284381148,0,2747.18794345351,272.561131959164,0,2770.20317064698,274.818009649032,0,2793.21842754866
450,265.832023126897,0.693221810095004,2701.15745763255,267.989641803795,0,2724.17271684071,270.24649514604,0,2747.18794345351,272.503345813691,0,2770.20317064698,274.760225425674,0,2793.21842754866
460,265.776387180832,0.694194104589292,2701.15745763255,267.92991563951,0,2724.17271684071,270.186769844611,0,2747.18794345351,272.443620306105,0,2770.20317064698,274.700499508733,0,2793.21842754866
470,265.719850214697,0.695150968849503,2701.15745763255,267.869800815176,0,2724.17271684071,270.126656875757,0,2747.18794345351,272.383508020782,0,2770.20317064698,274.640387566827,0,2793.21842754866
480,265.661566352922,0.69607357914422,2701.15745763255,267.809863772037,0,2724.17271684071,270.06672408883,0,2747.18794345351,272.323577703611,0,2770.20317064698,274.580458928283,0,2793.21842754866
490,265.603354739154,0.696953957778327,2701.15745763255,267.751097858326,0,2724.17271684071,270.007963334179,0,2747.18794345351,272.264819959337,0,2770.20317064698,274.521703209472,0,2793.21842754866
500,265.544335693785,0.697799086358965,2701.15745763255,267.691003075782,0,2724.17271684071,269.947872508709,0,2747.18794345351,272.204730942053,0,2770.20317064698,274.461615153402,0,2793.21842754866
510,265.484770955163,0.69861771106118,2701.15745763255,267.629485695712,0,2724.17271684071,269.886357603941,0,2747.18794345351,272.143216332667,0,2770.20317064698,274.40010019153,0,2793.21842754866
520,265.425432059961,0.699404632694413,2701.15745763255,267.569032326113,0,2724.17271684071,269.825907319002,0,2747.18794345351,272.082766781557,0,2770.20317064698,274.339650631705,0,2793.21842754866
530,265.365515433271,0.700168625368266,2701.15745763255,267.506980298315,0,2724.17271684071,269.763857240306,0,2747.18794345351,272.020716834823,0,2770.20317064698,274.277600305444,0,2793.21842754866
540,265.304795326816,0.700910972778776,2701.15745763255,267.444005145489,0,2724.17271684071,269.700883874112,0,2747.18794345351,271.95774364548,0,2770.20317064698,274.214626848674,0,2793.21842754866
550,265.244263022625,0.701627088407922,2701.15745763255,267.382015472286,0,2724.17271684071,269.638896515814,0,2747.18794345351,271.895756863084,0,2770.20317064698,274.152640118961,0,2793.21842754866
560,265.184053794719,0.702312313366443,2701.15745763255,267.321321961238,0,2724.17271684071,269.578205869696,0,2747.18794345351,271.835067241341,0,2770.20317064698,274.091950908123,0,2793.21842754866
570,265.122189716889,0.702964901696834,2701.15745763255,267.25961905385,0,2724.17271684071,269.516505977803,0,2747.18794345351,271.773368539151,0,2770.20317064698,274.030252741466,0,2793.21842754866
580,265.060340786011,0.703584163434674,2701.15745763255,267.198471323519,0,2724.17271684071,269.455361282747,0,2747.18794345351,271.712225048447,0,2770.20317064698,273.969109808983,0,2793.21842754866
590,264.998582385693,0.704170647128013,2701.15745763255,267.13776840687,0,2724.17271684071,269.394661270266,0,2747.18794345351,271.651526179745,0,2770.20317064698,273.908411466851,0,2793.21842754866
600,264.933820955196,0.704725715745599,2701.15745763255,267.074257362021,0,2724.17271684071,269.331152986206,0,2747.18794345351,271.588019132027,0,2770.20317064698,273.844905071691,0,2793.21842754866
610,264.868805205822,0.705250662157275,2701.15745763255,267.010712184981,0,2724.17271684071,269.267610380858,0,2747.18794345351,271.524477633032,0,2770.20317064698,273.781364149164,0,2793.21842754866
620,264.804187077322,0.705746766093995,2701.15745763255,266.947772428563,0,2724.17271684071,269.204673003573,0,2747.18794345351,271.461541252738,0,2770.20317064698,273.718428277577,0,2793.21842754866
630,264.741265657416,0.706216025932096,2701.15745763255,266.88656172921,0,2724.17271684071,269.143464386607,0,2747.18794345351,271.400333415261,0,2770.20317064698,273.657220789635,0,2793.21842754866
640,264.680192471605,0.706662878048239,2701.15745763255,266.826613118413,0,2724.17271684071,269.083517204481,0,2747.18794345351,271.34038650574,0,2770.20317064698,273.597273831414,0,2793.21842754866
650,264.619548818791,0.707087611661074,2701.15745763255,266.767373534552,0,2724.17271684071,269.024279058121,0,2747.18794345351,271.281148774928,0,2770.20317064698,273.538036212046,0,2793.21842754866
660,264.559072780038,0.707490401425145,2701.15745763255,266.708615283882,0,2724.17271684071,268.965522331,0,2747.18794345351,271.222392713406,0,2770.20317064698,273.479280524524,0,2793.21842754866
670,264.497208259696,0.707872155711315,2701.15745763255,266.648604131416,0,2724.17271684071,268.905512602663,0,2747.18794345351,271.162383670609,0,2770.20317064698,273.419271892562,0,2793.21842754866
680,264.435413070775,0.708233373187793,2701.15745763255,266.588888889501,0,2724.17271684071,268.84579882662,0,2747.18794345351,271.102670751631,0,2770.20317064698,273.359559583756,0,2793.21842754866
690,264.374223975525,0.708574086876036,2701.15745763255,266.530136990139,0,2724.17271684071,268.787048494352,0,2747.18794345351,271.043921479823,0,2770.20317064698,273.300811130956,0,2793.21842754866
700,264.314763414803,0.708895382526357,2701.15745763255,266.473183295186,0,2724.17271684071,268.73009622636,0,2747.18794345351,270.986970151711,0,2770.20317064698,273.243860526558,0,2793.21842754866
710,264.255997378522,0.709198238539398,2701.15745763255,266.416987862069,0,2724.17271684071,268.67390211449,0,2747.18794345351,270.930776945605,0,2770.20317064698,273.187668026234,0,2793.21842754866
720,264.195570062744,0.709483698397092,2701.15745763255,266.359141258092,0,2724.17271684071,268.61605676967,0,2747.18794345351,270.87293258791,0,2770.20317064698,273.129824468259,0,2793.21842754866
730,264.133768536964,0.709752671260932,2701.15745763255,266.29994605647,0,2724.17271684071,268.556862813322,0,2747.18794345351,270.813739706345,0,2770.20317064698,273.070632496475,0,2793.21842754866
740,264.072585747575,0.710005664508234,2701.15745763255,266.241514639654,0,2724.17271684071,268.498432694516,0,2747.18794345351,270.755310765259,0,2770.20317064698,273.012204583309,0,2793.21842754866
750,264.012411791442,0.710243427655313,2701.15745763255,266.184135105111,0,2724.17271684071,268.4410544431,0,2747.18794345351,270.69793371845,0,2770.20317064698,272.95482860124,0,2793.21842754866
760,263.95121469961,0.710467772139948,2701.15745763255,266.125393162439,0,2724.17271684071,268.382313730742,0,2747.18794345351,270.639194361178,0,2770.20317064698,272.896090475139,0,2793.21842754866
770,263.888021263262,0.710680998235309,2701.15745763255,266.064093833065,0,2724.17271684071,268.321015480021,0,2747.18794345351,270.577897447331,0,2770.20317064698,272.834794806521,0,2793.21842754866
