Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,237.659565484917,0,2416.1027392714,239.760468488573,0,2437.52627125632,241.861366093693,0,2458.94980852729,243.962209311084,0,2480.37334520754,246.063074380044,0,2501.796877923
2,238.591671406303,0,2416.1027392714,240.692547143428,0,2437.52627125632,242.793421599675,0,2458.94980852729,244.894218800699,0,2480.37334520754,246.995049455764,0,2501.796877923
3,239.402573571095,0,2416.1027392714,241.503429635111,0,2437.52627125632,243.604292883146,0,2458.94980852729,245.705079229186,0,2480.37334520754,247.805901742409,0,2501.796877923
4,240.016829782163,0,2416.1027392714,242.117672429618,0,2437.52627125632,244.218530333865,0,2458.94980852729,246.319318632326,0,2480.37334520754,248.420142579116,0,2501.796877923
5,240.455167651975,0,2416.1027392714,242.556001237808,0,2437.52627125632,244.656856407547,0,2458.94980852729,246.75764958249,0,2480.37334520754,248.858477154298,0,2501.796877923
6,240.763623327155,0,2416.1027392714,242.864450629831,0,2437.52627125632,244.965304067464,0,2458.94980852729,247.066101290404,0,2480.37334520754,249.166931873586,0,2501.796877923
7,240.979673399865,0,2416.1027392714,243.080496319146,0,2437.52627125632,245.181348586578,0,2458.94980852729,247.282148788796,0,2480.37334520754,249.382981588757,0,2501.796877923
8,241.133323536832,0,2416.1027392714,243.234143289901,0,2437.52627125632,245.33499462616,0,2458.94980852729,247.435796630816,0,2480.37334520754,249.536630770971,0,2501.796877923
9,241.244650012752,0,2416.1027392714,243.345467430424,0,2437.52627125632,245.446318005518,0,2458.94980852729,247.547121037292,0,2480.37334520754,249.64795594018,0,2501.796877923
10,241.325317027657,0,2416.1027392714,243.426132750504,0,2437.52627125632,245.526982771958,0,2458.94980852729,247.627786544012,0,2480.37334520754,249.728621996612,0,2501.796877923
11,241.386057844774,0,2416.1027392714,243.486872248397,0,2437.52627125632,245.587721759934,0,2458.94980852729,247.688525786994,0,2480.37334520754,249.789361427601,0,2501.796877923
12,241.43357091193,0,2416.1027392714,243.534384250784,0,2437.52627125632,245.635233293127,0,2458.94980852729,247.736037291607,0,2480.37334520754,249.836872908913,0,2501.796877923
13,241.470823848505,0,2416.1027392714,243.571636349577,0,2437.52627125632,245.67248501948,0,2458.94980852729,247.773288982184,0,2480.37334520754,249.87412457123,0,2501.796877923
14,241.501501689836,0,2416.1027392714,243.60231347619,0,2437.52627125632,245.703161784554,0,2458.94980852729,247.803965538568,0,2480.37334520754,249.90480097045,0,2501.796877923
15,241.528521272997,0,2416.1027392714,243.629332402586,0,2437.52627125632,245.730180330428,0,2458.94980852729,247.830983696263,0,2480.37334520754,249.931818837041,0,2501.796877923
16,241.551898869051,0,2416.1027392714,243.652709437628,0,2437.52627125632,245.753557050149,0,2458.94980852729,247.854360123988,0,2480.37334520754,249.955195045661,0,2501.796877923
17,241.571593155725,0,2416.1027392714,243.67240325918,0,2437.52627125632,245.773250623567,0,2458.94980852729,247.874053509393,0,2480.37334520754,249.974888289792,0,2501.796877923
18,241.589761438103,0,2416.1027392714,243.690571085909,0,2437.52627125632,245.79141816593,0,2458.94980852729,247.892220699604,0,2480.37334520754,249.993055216174,0,2501.796877923
19,241.607423269174,0,2416.1027392714,243.708232459624,0,2437.52627125632,245.809079233655,0,2458.94980852729,247.909881330228,0,2480.37334520754,250.010715519529,0,2501.796877923
20,241.623472287875,0,2416.1027392714,243.724281078297,0,2437.52627125632,245.82512760777,0,2458.94980852729,247.925929415919,0,2480.37334520754,250.026763389086,0,2501.796877923
21,241.638071374233,0,2416.1027392714,243.738879801436,0,2437.52627125632,245.839726108427,0,2458.94980852729,247.940527652984,0,2480.37334520754,250.041361428622,0,2501.796877923
22,241.652903358482,0,2416.1027392714,243.753711392735,0,2437.52627125632,245.854557423241,0,2458.94980852729,247.955358537017,0,2480.37334520754,250.056191990219,0,2501.796877923
23,241.668365218407,0,2416.1027392714,243.769172836198,0,2437.52627125632,245.870018566034,0,2458.94980852729,247.97081919216,0,2480.37334520754,250.071652280416,0,2501.796877923
24,241.682900210817,0,2416.1027392714,243.783707457074,0,2437.52627125632,245.884552948299,0,2458.94980852729,247.98535325988,0,2480.37334520754,250.086186112547,0,2501.796877923
25,241.695879853043,0,2416.1027392714,243.796686778275,0,2437.52627125632,245.897532078297,0,2458.94980852729,247.998332179014,0,2480.37334520754,250.099164873607,0,2501.796877923
26,241.708635645545,0,2416.1027392714,243.80944223728,0,2437.52627125632,245.910287311012,0,2458.94980852729,248.01108708016,0,2480.37334520754,250.111919526513,0,2501.796877923
27,241.722071555425,0,2416.1027392714,243.822877783163,0,2437.52627125632,245.923722591318,0,2458.94980852729,248.024521922957,0,2480.37334520754,250.125354041896,0,2501.796877923
28,241.735500291522,0,2416.1027392714,243.836306165242,0,2437.52627125632,245.937150728145,0,2458.94980852729,248.03794968734,0,2480.37334520754,250.138781527474,0,2501.796877923
29,241.747824816176,0,2416.1027392714,243.848630380831,0,2437.52627125632,245.949474751312,0,2458.94980852729,248.05027347361,0,2480.37334520754,250.151105136242,0,2501.796877923
30,241.759716939823,0,2416.1027392714,243.860522196419,0,2437.52627125632,245.961366362105,0,2458.94980852729,248.062164795381,0,2480.37334520754,250.162996241587,0,2501.796877923
31,241.771544517082,0,2416.1027392714,243.87234945934,0,2437.52627125632,245.973193408972,0,2458.94980852729,248.07399151847,0,2480.37334520754,250.174822722292,0,2501.796877923
32,241.78357998547,0,2416.1027392714,243.884384604866,0,2437.52627125632,245.985228326911,0,2458.94980852729,248.086026080778,0,2480.37334520754,250.186857018412,0,2501.796877923
33,241.795500897925,0,2416.1027392714,243.896305204664,0,2437.52627125632,245.997148711987,0,2458.94980852729,248.097946144601,0,2480.37334520754,250.198776841726,0,2501.796877923
34,241.807130993447,0,2416.1027392714,243.907935000124,0,2437.52627125632,246.008778304403,0,2458.94980852729,248.109575441091,0,2480.37334520754,250.210405916632,0,2501.796877923
