Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
10,299.576547070112,0,3048.27044421984,301.823992946904,0,3071.18784165837,304.071430605881,0,3094.10522731127,306.318857521441,0,3117.02258894133,308.566288422029,0,3139.93999839204
20,299.718513418616,0,3048.27044421984,301.965964783797,0,3071.18784165837,304.213407315075,0,3094.10522731127,306.460841129027,0,3117.02258894133,308.708277149732,0,3139.93999839204
30,299.748807173237,0,3048.27044421984,301.996259723066,0,3071.18784165837,304.243703310639,0,3094.10522731127,306.491138630873,0,3117.02258894133,308.738575770012,0,3139.93999839204
40,299.758352252808,0,3048.27044421984,302.005805137183,0,3071.18784165837,304.253248994917,0,3094.10522731127,306.500684632264,0,3117.02258894133,308.748122005226,0,3139.93999839204
50,299.764135330016,0,3048.27044421984,302.011588393526,0,3071.18784165837,304.259032376439,0,3094.10522731127,306.506468108594,0,3117.02258894133,308.753905549951,0,3139.93999839204
60,299.768448580089,0,3048.27044421984,302.015901773958,0,3071.18784165837,304.263345843093,0,3094.10522731127,306.510781625312,0,3117.02258894133,308.758219102158,0,3139.93999839204
70,299.772368543235,0,3048.27044421984,302.019821853199,0,3071.18784165837,304.267265995906,0,3094.10522731127,306.51470181024,0,3117.02258894133,308.762139309272,0,3139.93999839204
80,299.775637586046,0,3048.27044421984,302.023090993959,0,3071.18784165837,304.270535198282,0,3094.10522731127,306.517971037799,0,3117.02258894133,308.765408554148,0,3139.93999839204
90,299.778672213938,0,3048.27044421984,302.026125711841,0,3071.18784165837,304.273569971469,0,3094.10522731127,306.521005829054,0,3117.02258894133,308.768443357488,0,3139.93999839204
100,299.781202949572,0,3048.27044421984,302.028656523507,0,3071.18784165837,304.276100829962,0,3094.10522731127,306.523536703121,0,3117.02258894133,308.770974242023,0,3139.93999839204
110,299.782986880856,0,3048.27044421984,302.030440509688,0,3071.18784165837,304.277884849929,0,3094.10522731127,306.525320734116,0,3117.02258894133,308.772758280449,0,3139.93999839204
120,299.784637048455,0,3048.27044421984,302.032090726603,0,3071.18784165837,304.279535095491,0,3094.10522731127,306.52697098299,0,3117.02258894133,308.774408531015,0,3139.93999839204
130,299.785962846866,0,3048.27044421984,302.033416565339,0,3071.18784165837,304.280860957625,0,3094.10522731127,306.528296847665,0,3117.02258894133,308.775734396967,0,3139.93999839204
140,299.786789461972,0,3048.27044421984,302.034243206642,0,3071.18784165837,304.281687613778,0,3094.10522731127,306.529123503985,0,3117.02258894133,308.776561053034,0,3139.93999839204
150,299.787070506386,0,3048.27044421984,302.03452426154,0,3071.18784165837,304.281968672733,0,3094.10522731127,306.529404555411,0,3117.02258894133,308.776842098707,0,3139.93999839204
160,299.786919172121,0,3048.27044421984,302.034372924927,0,3071.18784165837,304.281817330925,0,3094.10522731127,306.52925319811,0,3117.02258894133,308.776690729892,0,3139.93999839204
170,299.785863803734,0,3048.27044421984,302.033317529196,0,3071.18784165837,304.280761914204,0,3094.10522731127,306.52819775898,0,3117.02258894133,308.775635274523,0,3139.93999839204
180,299.783799534645,0,3048.27044421984,302.031253203644,0,3071.18784165837,304.27869754873,0,3094.10522731127,306.526133361084,0,3117.02258894133,308.773570853375,0,3139.93999839204
190,299.780800087722,0,3048.27044421984,302.028253672845,0,3071.18784165837,304.275697959517,0,3094.10522731127,306.523133727422,0,3117.02258894133,308.7705711879,0,3139.93999839204
200,299.777309932492,0,3048.27044421984,302.024763418296,0,3071.18784165837,304.272207634933,0,3094.10522731127,306.519643346953,0,3117.02258894133,308.767080767268,0,3139.93999839204
210,299.772709132569,0,3048.27044421984,302.020162488442,0,3071.18784165837,304.267606615985,0,3094.10522731127,306.515042264782,0,3117.02258894133,308.762479639997,0,3139.93999839204
220,299.767806371889,0,3048.27044421984,302.015259586787,0,3071.18784165837,304.2627036164,0,3094.10522731127,306.510139191863,0,3117.02258894133,308.757576514517,0,3139.93999839204
230,299.762056706809,0,3048.27044421984,302.009509757532,0,3071.18784165837,304.256953675136,0,3094.10522731127,306.504389173135,0,3117.02258894133,308.751826440564,0,3139.93999839204
240,299.756158422081,0,3048.27044421984,302.003611302424,0,3071.18784165837,304.251055102313,0,3094.10522731127,306.498490514297,0,3117.02258894133,308.745927720136,0,3139.93999839204
250,299.750221695219,0,3048.27044421984,301.997674403757,0,3071.18784165837,304.24511808466,0,3094.10522731127,306.492553408822,0,3117.02258894133,308.739990551732,0,3139.93999839204
260,299.743829050866,0,3048.27044421984,301.991281575412,0,3071.18784165837,304.238725130434,0,3094.10522731127,306.486160366537,0,3117.02258894133,308.733597446578,0,3139.93999839204
270,299.737376999989,0,3048.27044421984,301.98482933775,0,3071.18784165837,304.232272764089,0,3094.10522731127,306.479707907386,0,3117.02258894133,308.727144921015,0,3139.93999839204
280,299.731047614735,0,3048.27044421984,301.978499768826,0,3071.18784165837,304.225943067778,0,3094.10522731127,306.473378116497,0,3117.02258894133,308.720815062319,0,3139.93999839204
290,299.724897296243,0,3048.27044421984,301.972349271668,0,3071.18784165837,304.219792446689,0,3094.10522731127,306.467227403375,0,3117.02258894133,308.714664283207,0,3139.93999839204
300,299.718477286115,0,3048.27044421984,301.965929076214,0,3071.18784165837,304.213372124155,0,3094.10522731127,306.460806991068,0,3117.02258894133,308.708243806753,0,3139.93999839204
310,299.71213444403,0,3048.27044421984,301.959586050104,0,3071.18784165837,304.207028970995,0,3094.10522731127,306.45446374545,0,3117.02258894133,308.701900494925,0,3139.93999839204
320,299.705568714553,0,3048.27044421984,301.953020130943,0,3071.18784165837,304.200462921591,0,3094.10522731127,306.447897603488,0,3117.02258894133,308.695334286797,0,3139.93999839204
330,299.698700247198,0,3048.27044421984,301.946151465273,0,3071.18784165837,304.193594120321,0,3094.10522731127,306.44102870768,0,3117.02258894133,308.68846532349,0,3139.93999839204
340,299.691465259506,0,3048.27044421984,301.938916268786,0,3071.18784165837,304.186358781296,0,3094.10522731127,306.433793270011,0,3117.02258894133,308.681229815425,0,3139.93999839204
350,299.684107504368,0,3048.27044421984,301.931558300682,0,3071.18784165837,304.179000666835,0,3094.10522731127,306.426435051161,0,3117.02258894133,308.673871521924,0,3139.93999839204
360,299.676577906702,0,3048.27044421984,301.924028485159,0,3071.18784165837,304.171470702102,0,3094.10522731127,306.41890498165,0,3117.02258894133,308.666341377556,0,3139.93999839204
370,299.669021311523,0,3048.27044421984,301.91647167087,0,3071.18784165837,304.163913737874,0,3094.10522731127,306.411347912591,0,3117.02258894133,308.658784233607,0,3139.93999839204
380,299.661395081781,0,3048.27044421984,301.90884522015,0,3071.18784165837,304.156287135584,0,3094.10522731127,306.403721203161,0,3117.02258894133,308.651157447593,0,3139.93999839204
390,299.653646762968,0,3048.27044421984,301.901096676947,0,3071.18784165837,304.148538438698,0,3094.10522731127,306.395972398381,0,3117.02258894133,308.643408565724,0,3139.93999839204
400,299.645998373375,0,3048.27044421984,301.893448065178,0,3071.18784165837,304.140889674792,0,3094.10522731127,306.388323527814,0,3117.02258894133,308.635759618936,0,3139.93999839204
410,299.180944518909,0,3048.27044421984,301.428381952951,0,3071.18784165837,303.675816417399,0,3094.10522731127,305.92324919442,0,3117.02258894133,308.170684721719,0,3139.93999839204
420,298.955602144279,0,3048.27044421984,301.20303237999,0,3071.18784165837,303.45046145448,0,3094.10522731127,305.697889021781,0,3117.02258894133,307.945320744786,0,3139.93999839204
