Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
10,267.829135855513,0,2701.15745763255,270.086118039948,0,2724.17271684071,272.3431028697,0,2747.18794345351,274.600043241458,0,2770.20317064698,276.857002812249,0,2793.21842754866
20,268.439233150884,0,2701.15745763255,270.69621893243,0,2724.17271684071,272.953217899196,0,2747.18794345351,275.210222402962,0,2770.20317064698,277.467233536747,0,2793.21842754866
30,268.588869813861,0,2701.15745763255,270.845856096627,0,2724.17271684071,273.102857761519,0,2747.18794345351,275.359874991295,0,2770.20317064698,277.616896358766,0,2793.21842754866
40,268.654254364493,0,2701.15745763255,270.911240390398,0,2724.17271684071,273.168242377779,0,2747.18794345351,275.425261959325,0,2770.20317064698,277.68228521962,0,2793.21842754866
50,268.708664043366,0,2701.15745763255,270.965649623929,0,2724.17271684071,273.222651452331,0,2747.18794345351,275.479671374344,0,2770.20317064698,277.736694910644,0,2793.21842754866
60,268.764400670318,0,2701.15745763255,271.0213857757,0,2724.17271684071,273.278387368974,0,2747.18794345351,275.53540731298,0,2770.20317064698,277.79243086948,0,2793.21842754866
70,268.824124946549,0,2701.15745763255,271.0811095535,0,2724.17271684071,273.338110889125,0,2747.18794345351,275.59513079857,0,2770.20317064698,277.852154330049,0,2793.21842754866
80,268.886374312342,0,2701.15745763255,271.143358445667,0,2724.17271684071,273.400359548366,0,2747.18794345351,275.657379486296,0,2770.20317064698,277.914403043587,0,2793.21842754866
90,268.948910158743,0,2701.15745763255,271.205893838523,0,2724.17271684071,273.462894732406,0,2747.18794345351,275.719914771368,0,2770.20317064698,277.976938412824,0,2793.21842754866
100,269.008630125677,0,2701.15745763255,271.265613402956,0,2724.17271684071,273.522614132118,0,2747.18794345351,275.779634367445,0,2770.20317064698,278.036658169604,0,2793.21842754866
110,269.059774024995,0,2701.15745763255,271.316756990843,0,2724.17271684071,273.573757630306,0,2747.18794345351,275.830778213632,0,2770.20317064698,278.087802297988,0,2793.21842754866
120,269.112508250752,0,2701.15745763255,271.369490843357,0,2724.17271684071,273.626491310897,0,2747.18794345351,275.883511976299,0,2770.20317064698,278.140536129324,0,2793.21842754866
130,269.16614408896,0,2701.15745763255,271.423126396273,0,2724.17271684071,273.680126747614,0,2747.18794345351,275.937147553321,0,2770.20317064698,278.194171821811,0,2793.21842754866
140,269.215268093794,0,2701.15745763255,271.472250242612,0,2724.17271684071,273.729250573516,0,2747.18794345351,275.986271684748,0,2770.20317064698,278.243296201185,0,2793.21842754866
150,269.276429488648,0,2701.15745763255,271.533411407853,0,2724.17271684071,273.7904116112,0,2747.18794345351,276.047432655422,0,2770.20317064698,278.30445712118,0,2793.21842754866
160,269.350366442144,0,2701.15745763255,271.607348202016,0,2724.17271684071,273.864348329751,0,2747.18794345351,276.121369390514,0,2770.20317064698,278.378393873331,0,2793.21842754866
170,269.430942238831,0,2701.15745763255,271.687923896167,0,2724.17271684071,273.944924024032,0,2747.18794345351,276.201945345128,0,2770.20317064698,278.45897004145,0,2793.21842754866
180,269.513495728455,0,2701.15745763255,271.770477597232,0,2724.17271684071,274.027477928047,0,2747.18794345351,276.284499737961,0,2770.20317064698,278.541524831114,0,2793.21842754866
190,269.59568676885,0,2701.15745763255,271.852668958605,0,2724.17271684071,274.10966956717,0,2747.18794345351,276.36669196615,0,2770.20317064698,278.623717536968,0,2793.21842754866
200,269.686641333495,0,2701.15745763255,271.943624021796,0,2724.17271684071,274.200624971507,0,2747.18794345351,276.457647816131,0,2770.20317064698,278.714673750837,0,2793.21842754866
210,269.778084171841,0,2701.15745763255,272.035067614091,0,2724.17271684071,274.292069092704,0,2747.18794345351,276.549092677014,0,2770.20317064698,278.806119215878,0,2793.21842754866
220,269.858976445927,0,2701.15745763255,272.115960966781,0,2724.17271684071,274.372963219306,0,2747.18794345351,276.629987906996,0,2770.20317064698,278.887015357086,0,2793.21842754866
230,269.940599624291,0,2701.15745763255,272.197585649418,0,2724.17271684071,274.454588910843,0,2747.18794345351,276.711614656477,0,2770.20317064698,278.968643022284,0,2793.21842754866
240,270.008990114006,0,2701.15745763255,272.265978059452,0,2724.17271684071,274.522982772673,0,2747.18794345351,276.780010356943,0,2770.20317064698,279.037040352137,0,2793.21842754866
250,270.084009730749,0,2701.15745763255,272.341000625147,0,2724.17271684071,274.598007807408,0,2747.18794345351,276.85503827865,0,2770.20317064698,279.112070979909,0,2793.21842754866
260,270.152173562651,0,2701.15745763255,272.409169038374,0,2724.17271684071,274.666180511867,0,2747.18794345351,276.923216741313,0,2770.20317064698,279.180254896497,0,2793.21842754866
270,270.214313670714,0,2701.15745763255,272.47132001044,0,2724.17271684071,274.728341619342,0,2747.18794345351,276.985389881933,0,2770.20317064698,279.24243889303,0,2793.21842754866
