Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
10,237.841459737316,0,2416.1027392714,239.942365911748,0,2437.52627125632,242.043278362133,0,2458.94980852729,244.144176358569,0,2480.37334520754,246.245082343401,0,2501.796877923
20,238.078900107095,0,2416.1027392714,240.179800972598,0,2437.52627125632,242.280711086087,0,2458.94980852729,244.381608950489,0,2480.37334520754,246.482514826999,0,2501.796877923
30,238.139369270613,0,2416.1027392714,240.24026878723,0,2437.52627125632,242.341178325208,0,2458.94980852729,244.44207623015,0,2480.37334520754,246.542982134471,0,2501.796877923
40,238.164687929995,0,2416.1027392714,240.265586819767,0,2437.52627125632,242.366495996726,0,2458.94980852729,244.467393539819,0,2480.37334520754,246.568299172786,0,2501.796877923
50,238.185246523466,0,2416.1027392714,240.286144865456,0,2437.52627125632,242.387053675264,0,2458.94980852729,244.487950691933,0,2480.37334520754,246.588855930799,0,2501.796877923
60,238.206884505579,0,2416.1027392714,240.307782256875,0,2437.52627125632,242.408690658778,0,2458.94980852729,244.509587058979,0,2480.37334520754,246.610491836426,0,2501.796877923
70,238.230088855241,0,2416.1027392714,240.330985971734,0,2437.52627125632,242.431893933948,0,2458.94980852729,244.532789666327,0,2480.37334520754,246.63369394391,0,2501.796877923
80,238.254459714727,0,2416.1027392714,240.355356164158,0,2437.52627125632,242.456263664553,0,2458.94980852729,244.557158696137,0,2480.37334520754,246.658062449148,0,2501.796877923
90,238.27780050524,0,2416.1027392714,240.378696324927,0,2437.52627125632,242.479603391199,0,2458.94980852729,244.580497769034,0,2480.37334520754,246.681401032615,0,2501.796877923
100,238.298771976177,0,2416.1027392714,240.399667239814,0,2437.52627125632,242.500573923004,0,2458.94980852729,244.601467724862,0,2480.37334520754,246.70237055717,0,2501.796877923
110,238.31586978245,0,2416.1027392714,240.416764601088,0,2437.52627125632,242.51767097995,0,2458.94980852729,244.618564330196,0,2480.37334520754,246.719466824291,0,2501.796877923
120,238.331221689997,0,2416.1027392714,240.432116119779,0,2437.52627125632,242.533022225683,0,2458.94980852729,244.633915153125,0,2480.37334520754,246.734817330554,0,2501.796877923
130,238.346756877199,0,2416.1027392714,240.447650913046,0,2437.52627125632,242.548556737221,0,2458.94980852729,244.649449215319,0,2480.37334520754,246.750351056215,0,2501.796877923
140,238.361862045047,0,2416.1027392714,240.462755694115,0,2437.52627125632,242.563661243871,0,2458.94980852729,244.664553289597,0,2480.37334520754,246.765454806673,0,2501.796877923
150,238.379596304574,0,2416.1027392714,240.480489500895,0,2437.52627125632,242.581394721338,0,2458.94980852729,244.682286228243,0,2480.37334520754,246.783187341804,0,2501.796877923
160,238.400454991749,0,2416.1027392714,240.501347661482,0,2437.52627125632,242.602252496634,0,2458.94980852729,244.703143367854,0,2480.37334520754,246.804044005326,0,2501.796877923
170,238.424284404202,0,2416.1027392714,240.525176463963,0,2437.52627125632,242.626080857352,0,2458.94980852729,244.726971010323,0,2480.37334520754,246.827871109912,0,2501.796877923
