Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,268.615493394219,0,2701.15745763255,270.872370767872,0,2724.17271684071,273.129121976223,0,2747.18794345351,275.385121422592,0,2770.20317064698,277.641324823249,0,2793.21842754866
2,271.862939499644,0,2701.15745763255,274.119822344361,0,2724.17271684071,276.376601931063,0,2747.18794345351,278.632734620071,0,2770.20317064698,280.889045084895,0,2793.21842754866
3,274.067078648009,0,2701.15745763255,276.323990490722,0,2724.17271684071,278.580840267626,0,2747.18794345351,280.837262120687,0,2770.20317064698,283.093805032072,0,2793.21842754866
4,275.494123436499,0,2701.15745763255,277.7510571038,0,2724.17271684071,280.007959215703,0,2747.18794345351,282.264596153152,0,2770.20317064698,284.521311974073,0,2793.21842754866
5,276.39929144913,0,2701.15745763255,278.656239662982,0,2724.17271684071,280.913176841365,0,2747.18794345351,283.169958098279,0,2770.20317064698,285.426789940753,0,2793.21842754866
6,277.001516140577,0,2701.15745763255,279.258471908429,0,2724.17271684071,281.515428982257,0,2747.18794345351,283.772293957643,0,2770.20317064698,286.029193107678,0,2793.21842754866
7,277.410516432134,0,2701.15745763255,279.6674766355,0,2724.17271684071,281.924446198895,0,2747.18794345351,284.181364534293,0,2770.20317064698,286.438306584908,0,2793.21842754866
8,277.698064413481,0,2701.15745763255,279.955026988847,0,2724.17271684071,282.21200418788,0,2747.18794345351,284.468956037604,0,2770.20317064698,286.725925034588,0,2793.21842754866
9,277.895748684019,0,2701.15745763255,280.152713067865,0,2724.17271684071,282.409695940782,0,2747.18794345351,284.666672573929,0,2770.20317064698,286.923661496596,0,2793.21842754866
10,278.032316524906,0,2701.15745763255,280.289282066979,0,2724.17271684071,282.546268760669,0,2747.18794345351,284.803262239665,0,2770.20317064698,287.060264706613,0,2793.21842754866
