Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,305.206451807367,0,3048.27044421984,307.453852847588,0,3071.18784165837,309.701079513218,0,3094.10522731127,311.947793542596,0,3117.02258894133,314.194684576577,0,3139.93999839204
2,311.996681501456,0,3048.27044421984,314.244304594637,0,3071.18784165837,316.491702525535,0,3094.10522731127,318.738596529659,0,3117.02258894133,320.985619480346,0,3139.93999839204
3,316.755651830146,0,3048.27044421984,319.003468465896,0,3071.18784165837,321.251044623337,0,3094.10522731127,323.498206495237,0,3117.02258894133,325.745428656925,0,3139.93999839204
4,319.945816953263,0,3048.27044421984,322.193768962115,0,3071.18784165837,324.441473158432,0,3094.10522731127,326.688835334136,0,3117.02258894133,328.936206661581,0,3139.93999839204
5,322.124604656772,0,3048.27044421984,324.37264748053,0,3071.18784165837,326.620436554785,0,3094.10522731127,328.867929199384,0,3117.02258894133,331.115397634795,0,3139.93999839204
6,323.678800676521,0,3048.27044421984,325.926905642635,0,3071.18784165837,328.174751185582,0,3094.10522731127,330.422326926027,0,3117.02258894133,332.669857121736,0,3139.93999839204
7,324.842498659152,0,3048.27044421984,327.090648053293,0,3071.18784165837,329.338532636917,0,3094.10522731127,331.586162680541,0,3117.02258894133,333.833733158201,0,3139.93999839204
8,325.755656305323,0,3048.27044421984,328.003839040478,0,3071.18784165837,330.251751916384,0,3094.10522731127,332.499418854432,0,3117.02258894133,334.747016635277,0,3139.93999839204
9,326.497426224487,0,3048.27044421984,328.745635167115,0,3071.18784165837,330.993569682337,0,3094.10522731127,333.241263321906,0,3117.02258894133,335.488880819815,0,3139.93999839204
10,327.123534806621,0,3048.27044421984,329.371765078895,0,3071.18784165837,331.619716647717,0,3094.10522731127,333.867429879284,0,3117.02258894133,336.11506180094,0,3139.93999839204
11,327.660677914104,0,3048.27044421984,329.908926206277,0,3071.18784165837,332.156891977687,0,3094.10522731127,334.404620975995,0,3117.02258894133,336.652264487476,0,3139.93999839204
12,328.135607691339,0,3048.27044421984,330.383871466642,0,3071.18784165837,332.631849109922,0,3094.10522731127,334.879590385411,0,3117.02258894133,337.127242891507,0,3139.93999839204
13,328.558828014334,0,3048.27044421984,330.807105486338,0,3071.18784165837,333.05509355376,0,3094.10522731127,335.302845390947,0,3117.02258894133,337.550505627007,0,3139.93999839204
14,328.944718571445,0,3048.27044421984,331.193008264011,0,3071.18784165837,333.441005426072,0,3094.10522731127,335.688765896767,0,3117.02258894133,337.936432430371,0,3139.93999839204
15,329.304152380163,0,3048.27044421984,331.552453229789,0,3071.18784165837,333.80045851439,0,3094.10522731127,336.048226174468,0,3117.02258894133,338.295897932003,0,3139.93999839204
16,329.638586158844,0,3048.27044421984,331.886897401369,0,3071.18784165837,334.134910258491,0,3094.10522731127,336.382684639395,0,3117.02258894133,338.630361281222,0,3139.93999839204
17,329.962228148882,0,3048.27044421984,332.210549084269,0,3071.18784165837,334.458568705066,0,3094.10522731127,336.706348207958,0,3117.02258894133,338.954028535724,0,3139.93999839204
18,330.279403156775,0,3048.27044421984,332.527733481144,0,3071.18784165837,334.775759555238,0,3094.10522731127,337.023543641865,0,3117.02258894133,339.271227253635,0,3139.93999839204
