Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,266.715061932798,0,2701.15745763255,268.971991954978,0,2724.17271684071,271.228869374464,0,2747.18794345351,273.485387676691,0,2770.20317064698,275.742008033097,0,2793.21842754866
2,268.388024469225,0,2701.15745763255,270.644941287915,0,2724.17271684071,272.901819778143,0,2747.18794345351,275.158378290537,0,2770.20317064698,277.415030984052,0,2793.21842754866
3,269.573154991556,0,2701.15745763255,271.830079439382,0,2724.17271684071,274.086987598586,0,2747.18794345351,276.343680491191,0,2770.20317064698,278.600441221869,0,2793.21842754866
4,270.373637833363,0,2701.15745763255,272.630570362622,0,2724.17271684071,274.887502984769,0,2747.18794345351,277.144301981061,0,2770.20317064698,279.401148017111,0,2793.21842754866
5,270.905881718573,0,2701.15745763255,273.162820386501,0,2724.17271684071,275.419770329201,0,2747.18794345351,277.676643356998,0,2770.20317064698,279.933548912305,0,2793.21842754866
6,271.266780120802,0,2701.15745763255,273.523722599071,0,2724.17271684071,275.780683552164,0,2747.18794345351,278.037603881958,0,2770.20317064698,280.294547467765,0,2793.21842754866
7,271.516427830316,0,2701.15745763255,273.773372655594,0,2724.17271684071,276.030340694148,0,2747.18794345351,278.287291739542,0,2770.20317064698,280.544260020941,0,2793.21842754866
8,271.688077234178,0,2701.15745763255,273.945023737808,0,2724.17271684071,276.201996761079,0,2747.18794345351,278.458969343797,0,2770.20317064698,280.715954941077,0,2793.21842754866
9,271.809498165526,0,2701.15745763255,274.066445655947,0,2724.17271684071,276.323421842513,0,2747.18794345351,278.5804082982,0,2770.20317064698,280.837405049819,0,2793.21842754866
10,271.900355968417,0,2701.15745763255,274.15730389408,0,2724.17271684071,276.414281922076,0,2747.18794345351,278.671276818867,0,2770.20317064698,280.928280358114,0,2793.21842754866
11,271.967441691864,0,2701.15745763255,274.224389976984,0,2724.17271684071,276.481369447525,0,2747.18794345351,278.738370908326,0,2770.20317064698,280.995379725515,0,2793.21842754866
12,272.015595598261,0,2701.15745763255,274.272544221242,0,2724.17271684071,276.529524867078,0,2747.18794345351,278.786531557679,0,2770.20317064698,281.043544579825,0,2793.21842754866
