Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,316.573157261759,0,3100.64667102523,318.293512217629,0,3118.21645192998,320.011339422975,0,3135.78625743573,321.73151916321,0,3153.35606428666,323.454741124051,0,3170.92588067587
2,328.718225561354,0,3100.64667102523,330.436783987232,0,3118.21645192998,332.150954040498,0,3135.78625743573,333.869976972462,0,3153.35606428666,335.594303636782,0,3170.92588067587
3,337.350644782886,0,3100.64667102523,339.068188520552,0,3118.21645192998,340.780236763032,0,3135.78625743573,342.498890368509,0,3153.35606428666,344.224202600956,0,3170.92588067587
4,343.120497487906,0,3100.64667102523,344.837428413818,0,3118.21645192998,346.548182041126,0,3135.78625743573,348.266675812037,0,3153.35606428666,349.992664865258,0,3170.92588067587
5,347.010310093203,0,3100.64667102523,348.726837469836,0,3118.21645192998,350.43673830114,0,3135.78625743573,352.155126188911,0,3153.35606428666,353.881560851122,0,3170.92588067587
6,349.723228366263,0,3100.64667102523,351.439469827567,0,3118.21645192998,353.148768929834,0,3135.78625743573,354.867068419189,0,3153.35606428666,356.593802100367,0,3170.92588067587
7,351.678254965604,0,3100.64667102523,353.394286693826,0,3118.21645192998,355.103146099022,0,3135.78625743573,356.821371674802,0,3153.35606428666,358.548313368488,0,3170.92588067587
8,353.163030231263,0,3100.64667102523,354.878896084212,0,3118.21645192998,356.587409901193,0,3135.78625743573,358.305565929284,0,3153.35606428666,360.032658094004,0,3170.92588067587
9,354.314461359168,0,3100.64667102523,356.030198375591,0,3118.21645192998,357.738444246674,0,3135.78625743573,359.4565435142,0,3153.35606428666,361.18374923328,0,3170.92588067587
10,355.258560653399,0,3100.64667102523,356.974187202603,0,3118.21645192998,358.682204669955,0,3135.78625743573,360.400248526066,0,3153.35606428666,362.127542997808,0,3170.92588067587
11,356.058114592128,0,3100.64667102523,357.773646356172,0,3118.21645192998,359.481468379225,0,3135.78625743573,361.19946182974,0,3153.35606428666,362.926828900505,0,3170.92588067587
12,356.739777966521,0,3100.64667102523,358.455228896919,0,3118.21645192998,360.162884321996,0,3135.78625743573,361.880834320889,0,3153.35606428666,363.608262741141,0,3170.92588067587
13,357.350385345479,0,3100.64667102523,359.065762429767,0,3118.21645192998,360.773266250753,0,3135.78625743573,362.491173402137,0,3153.35606428666,364.218653927691,0,3170.92588067587
14,357.892431815351,0,3100.64667102523,359.607744280718,0,3118.21645192998,361.315115312714,0,3135.78625743573,363.032985516281,0,3153.35606428666,364.760512381342,0,3170.92588067587
