Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,300.3024202591,0,2701.15745763255,302.557413319356,0,2724.17271684071,304.811322686003,0,2747.18794345351,307.05747847247,0,2770.20317064698,309.305772099749,0,2793.21842754866
2,329.581473724759,0,2701.15745763255,331.836545462467,0,2724.17271684071,334.091020997176,0,2747.18794345351,336.339916535805,0,2770.20317064698,338.59041267547,0,2793.21842754866
3,349.210485948866,0,2701.15745763255,351.465757181541,0,2724.17271684071,353.720844737794,0,2747.18794345351,355.972401828239,0,2770.20317064698,358.225037768836,0,2793.21842754866
4,362.349210650154,0,2701.15745763255,364.604625584528,0,2724.17271684071,366.860129761785,0,2747.18794345351,369.113477955023,0,2770.20317064698,371.367553918479,0,2793.21842754866
5,371.471758777834,0,2701.15745763255,373.727255387689,0,2724.17271684071,375.983013716044,0,2747.18794345351,378.237470257171,0,2770.20317064698,380.492437355438,0,2793.21842754866
6,378.110410762972,0,2701.15745763255,380.365948301007,0,2724.17271684071,382.621858929517,0,2747.18794345351,384.877000690814,0,2770.20317064698,387.132518753978,0,2793.21842754866
7,383.187496407185,0,2701.15745763255,385.443050386678,0,2724.17271684071,387.699052026788,0,2747.18794345351,389.954624303684,0,2770.20317064698,392.21048856362,0,2793.21842754866
8,387.230712240505,0,2701.15745763255,389.486269784634,0,2724.17271684071,391.742327941281,0,2747.18794345351,393.998185002643,0,2770.20317064698,396.254278294298,0,2793.21842754866
9,390.518734736808,0,2701.15745763255,392.774290905422,0,2724.17271684071,395.030388297554,0,2747.18794345351,397.286453171819,0,2770.20317064698,399.542713603242,0,2793.21842754866
10,393.294868432993,0,2701.15745763255,395.550417771961,0,2724.17271684071,397.806538740929,0,2747.18794345351,400.0627442499,0,2770.20317064698,402.319117812626,0,2793.21842754866
11,395.680611935,0,2701.15745763255,397.936152821279,0,2724.17271684071,400.192290105597,0,2747.18794345351,402.448602717435,0,2770.20317064698,404.705062446746,0,2793.21842754866
12,397.75976760305,0,2701.15745763255,400.01529905117,0,2724.17271684071,402.271447692173,0,2747.18794345351,404.527844189642,0,2770.20317064698,406.784371414686,0,2793.21842754866
13,399.597480444707,0,2701.15745763255,401.853001378593,0,2724.17271684071,404.109157353963,0,2747.18794345351,406.365619632251,0,2770.20317064698,408.62219979445,0,2793.21842754866
14,401.24257766275,0,2701.15745763255,403.498087256888,0,2724.17271684071,405.75424752814,0,2747.18794345351,408.010761945183,0,2770.20317064698,410.26738407397,0,2793.21842754866
15,402.734076926005,0,2701.15745763255,404.989573644842,0,2724.17271684071,407.245735298167,0,2747.18794345351,409.502290730659,0,2770.20317064698,411.758945881835,0,2793.21842754866
16,404.110477631161,0,2701.15745763255,406.365960227769,0,2724.17271684071,408.622120557522,0,2747.18794345351,410.878706200995,0,2770.20317064698,413.135385688665,0,2793.21842754866
17,405.436609698746,0,2701.15745763255,407.692075472844,0,2724.17271684071,409.94822963753,0,2747.18794345351,412.204827386537,0,2770.20317064698,414.461516658484,0,2793.21842754866
18,406.736294633022,0,2701.15745763255,408.991743106042,0,2724.17271684071,411.247889589859,0,2747.18794345351,413.504492809879,0,2770.20317064698,415.761186531127,0,2793.21842754866
19,408.027881929695,0,2701.15745763255,410.283313027177,0,2724.17271684071,412.539450842925,0,2747.18794345351,414.79605458721,0,2770.20317064698,417.052748780939,0,2793.21842754866
20,409.315790782926,0,2701.15745763255,411.571205502957,0,2724.17271684071,413.827334929258,0,2747.18794345351,416.083938023084,0,2770.20317064698,418.340631740421,0,2793.21842754866
21,410.624237766225,0,2701.15745763255,412.879635953637,0,2724.17271684071,415.135755683702,0,2747.18794345351,417.392351729827,0,2770.20317064698,419.649039829323,0,2793.21842754866
22,411.944190571886,0,2701.15745763255,414.199573746031,0,2724.17271684071,416.455685087315,0,2747.18794345351,418.712276896768,0,2770.20317064698,420.968961635538,0,2793.21842754866
23,413.259954178901,0,2701.15745763255,415.515324068499,0,2724.17271684071,417.771428769397,0,2747.18794345351,420.028020899235,0,2770.20317064698,422.284705939624,0,2793.21842754866
24,414.583989716217,0,2701.15745763255,416.839346118728,0,2724.17271684071,419.095443461633,0,2747.18794345351,421.352032794738,0,2770.20317064698,423.608715637808,0,2793.21842754866
25,415.941524047165,0,2701.15745763255,418.19686623595,0,2724.17271684071,420.452954542836,0,2747.18794345351,422.709534376075,0,2770.20317064698,424.966209649837,0,2793.21842754866
26,417.256640561157,0,2701.15745763255,419.511973248118,0,2724.17271684071,421.768059003175,0,2747.18794345351,424.024650731856,0,2770.20317064698,426.281335694667,0,2793.21842754866
27,418.541445392142,0,2701.15745763255,420.796768196043,0,2724.17271684071,423.052850211252,0,2747.18794345351,425.309450418421,0,2770.20317064698,427.56614256761,0,2793.21842754866
28,419.803405734267,0,2701.15745763255,422.05871638892,0,2724.17271684071,424.314791719686,0,2747.18794345351,426.571397457106,0,2770.20317064698,428.82809513325,0,2793.21842754866
29,421.013332522245,0,2701.15745763255,423.268631349874,0,2724.17271684071,425.524701534527,0,2747.18794345351,427.781324014725,0,2770.20317064698,430.038037981551,0,2793.21842754866
30,422.139877631628,0,2701.15745763255,424.395167849,0,2724.17271684071,426.651236739707,0,2747.18794345351,428.907891401801,0,2770.20317064698,431.164637086727,0,2793.21842754866
31,423.230727615434,0,2701.15745763255,425.485950653318,0,2724.17271684071,427.741945159368,0,2747.18794345351,429.998637202448,0,2770.20317064698,432.255444112131,0,2793.21842754866
32,424.325903739137,0,2701.15745763255,426.580949257034,0,2724.17271684071,428.836748697976,0,2747.18794345351,431.093526315378,0,2770.20317064698,433.350484756446,0,2793.21842754866
33,425.358035826243,0,2701.15745763255,427.612804197363,0,2724.17271684071,429.86838646957,0,2747.18794345351,432.125484628793,0,2770.20317064698,434.382861694594,0,2793.21842754866
34,426.265252987612,0,2701.15745763255,428.519632755568,0,2724.17271684071,430.774974272921,0,2747.18794345351,433.032683002897,0,2770.20317064698,435.290809345626,0,2793.21842754866
35,427.147375449553,0,2701.15745763255,429.399342490441,0,2724.17271684071,431.650237020831,0,2747.18794345351,433.911708880152,0,2770.20317064698,436.172994379447,0,2793.21842754866
36,428.068924594194,0,2701.15745763255,430.313071201838,0,2724.17271684071,432.554567023205,0,2747.18794345351,434.826888277226,0,2770.20317064698,437.09670794842,0,2793.21842754866
37,428.878595914545,0,2701.15745763255,431.106397630979,0,2724.17271684071,433.337969721805,0,2747.18794345351,435.631285602264,0,2770.20317064698,437.917418404364,0,2793.21842754866
38,429.516017134979,0,2701.15745763255,431.719374412148,0,2724.17271684071,433.941191534689,0,2747.18794345351,436.265748555495,0,2770.20317064698,438.576171238252,0,2793.21842754866
39,430.145447948075,0,2701.15745763255,432.321825711504,0,2724.17271684071,434.544313091629,0.00430497216964591,2747.18794345351,436.902516572109,0,2770.20317064698,439.239011146794,0,2793.21842754866
40,431.132885353592,0,2701.15745763255,433.311653275157,0.00790631027620177,2724.17271684071,435.560820610582,0.0256288751955585,2747.18794345351,437.925563995491,0,2770.20317064698,440.267172153714,0,2793.21842754866
41,432.454164005927,0,2701.15745763255,434.676791708544,0.0368762128851789,2724.17271684071,436.949304813617,0.0632224103793567,2747.18794345351,439.292794175431,0,2770.20317064698,441.617918476636,0,2793.21842754866
42,433.960769854271,0,2701.15745763255,436.24701941607,0.0838653754045785,2724.17271684071,438.549576952573,0.113123289286477,2747.18794345351,440.862597090254,0,2770.20317064698,443.163903615289,0,2793.21842754866
43,435.62897515962,0,2701.15745763255,438.015999379734,0.143249376511076,2724.17271684071,440.366056719465,0.172915727038602,2747.18794345351,442.642144959758,0,2770.20317064698,444.914558491845,0,2793.21842754866
44,437.39651514764,0.001216048521429,2701.15745763255,439.941200058888,0.214695508301647,2724.17271684071,442.328370156862,0.233731429871214,2747.18794345351,444.536613166207,0,2770.20317064698,446.777524628485,0,2793.21842754866
45,439.158674573744,0.0307550015577829,2701.15745763255,441.6577534563,0.268490511248348,2724.17271684071,443.982539586216,0.273224709679337,2747.18794345351,446.155188784894,0,2770.20317064698,448.389194555699,0,2793.21842754866
46,441.117552649113,0.0847584251566014,2701.15745763255,443.453460333047,0.300729424855571,2724.17271684071,445.692985734933,0.296829121981977,2747.18794345351,447.820016597619,0,2770.20317064698,450.045488371744,0,2793.21842754866
47,443.171749291351,0.149446345341145,2701.15745763255,445.389514812452,0.319684390074562,2724.17271684071,447.55000159597,0.312157087797846,2747.18794345351,449.607542591051,0,2770.20317064698,451.818822893874,0,2793.21842754866
48,445.264581979837,0.215935675012043,2701.15745763255,447.400112869429,0.331116895563439,2724.17271684071,449.498149091047,0.322695770641718,2747.18794345351,451.498497965553,0.00118203426571072,2770.20317064698,453.69366111755,0,2793.21842754866
49,447.027521126811,0.270096662196126,2701.15745763255,449.12484072107,0.340497298897585,2724.17271684071,451.206161216157,0.329963307577786,2747.18794345351,453.20655999078,0.00295823196228761,2770.20317064698,455.40074934127,0,2793.21842754866
50,448.415830369716,0.309651277446471,2701.15745763255,450.509087097437,0.349059650584434,2724.17271684071,452.597823979269,0.335336497397017,2747.18794345351,454.615327167076,0.00395566595634828,2770.20317064698,456.818030866851,0,2793.21842754866
60,412.907018706706,0.469920113653345,2701.15745763255,414.881529321654,0.37730238681354,2724.17271684071,416.990232497478,0.289117245532033,2747.18794345351,419.177571490292,0.00420796689998731,2770.20317064698,421.417740673902,0,2793.21842754866
70,374.667863026325,0.562687206482258,2701.15745763255,376.513784823468,0.392021956255193,2724.17271684071,378.676329114328,0.246739674709008,2747.18794345351,380.907987268221,0.00449854392387163,2770.20317064698,383.158402360793,0,2793.21842754866
80,343.2103524463,0.615286019727425,2701.15745763255,344.970311181898,0.398284902995679,2724.17271684071,347.178346391926,0.227126571205224,2747.18794345351,349.421288622058,0.00475261490125501,2770.20317064698,351.674403108102,0,2793.21842754866
90,319.079244691895,0.646289999562256,2701.15745763255,320.785023266284,0.399587806796972,2724.17271684071,323.01780566271,0.218207007920513,2747.18794345351,325.267280659955,0.00495720766879294,2770.20317064698,327.522238026639,0,2793.21842754866
100,301.613497065883,0.665625474799806,2701.15745763255,303.288309378041,0.397248321412743,2724.17271684071,305.534507188402,0.213492307697949,2747.18794345351,307.788400477809,0.00511073457446904,2770.20317064698,310.044730586389,0,2793.21842754866
110,289.475137466254,0.678364563071109,2701.15745763255,291.135553420914,0.391920677068414,2724.17271684071,293.389411198637,0.210566088210924,2747.18794345351,295.646189846215,0.0052201783399372,2770.20317064698,297.903451792884,0,2793.21842754866
120,281.252055248369,0.687170996655389,2701.15745763255,282.909755906212,0.383824905376263,2724.17271684071,285.167507897988,0.208531420254698,2747.18794345351,287.425510632059,0.00529560370789472,2770.20317064698,289.68349086987,0,2793.21842754866
130,275.761408763121,0.693508636198398,2701.15745763255,277.424870757085,0.372780879292409,2724.17271684071,279.684252107803,0.207019268729676,2747.18794345351,281.943177175279,0.00534650969401498,2770.20317064698,284.201780841876,0,2793.21842754866
140,272.113992895823,0.698218931987836,2701.15745763255,273.790211243735,0.358171761970031,2724.17271684071,276.051080037423,0.205852268761013,2747.18794345351,278.310863394319,0.00538050679138454,2770.20317064698,280.570066211453,0,2793.21842754866
150,269.689516226566,0.701799748742989,2701.15745763255,271.386608939454,0.338439858840839,2724.17271684071,273.648870552815,0.204932357429344,2747.18794345351,275.909437161015,0.00540310193711108,2770.20317064698,278.169201537939,0,2793.21842754866
160,268.067685490147,0.704561273234891,2701.15745763255,269.79466895874,0.314647598288212,2724.17271684071,272.057825189304,0.20419818202299,2747.18794345351,274.318860891711,0.00541811999852711,2770.20317064698,276.578961171577,0,2793.21842754866
170,266.9702078146,0.706704882732975,2701.15745763255,268.736667705773,0.290236155686611,2724.17271684071,270.99968466286,0.203607204528693,2747.18794345351,273.260566138742,0.00542813544524757,2770.20317064698,275.520525498207,0,2793.21842754866
180,266.215067635209,0.70837384218261,2701.15745763255,268.028487314256,0.268846381442338,2724.17271684071,270.290402321862,0.203128318170191,2747.18794345351,272.550552522839,0.00543486522455427,2770.20317064698,274.809934494989,0,2793.21842754866
190,265.685479692233,0.709690130410329,2701.15745763255,267.545135301426,0.252566363039736,2724.17271684071,269.805630825857,0.202738672791445,2747.18794345351,272.064864547498,0.00543947356824549,2770.20317064698,274.323530970919,0,2793.21842754866
200,265.303946928384,0.710752992213522,2701.15745763255,267.202987618817,0.2409906305119,2724.17271684071,269.462224605901,0.202420806063824,2747.18794345351,271.720646887073,0.00544274196922043,2770.20317064698,273.978681558459,0,2793.21842754866
210,265.020140731853,0.711635887640442,2701.15745763255,266.949892022298,0.232902931720536,2724.17271684071,269.208215853624,0.202160282726606,2747.18794345351,271.466044643954,0.00544516072189766,2770.20317064698,273.723616420695,0,2793.21842754866
220,264.801430832437,0.712388866081309,2701.15745763255,266.754430467535,0.227194961184058,2724.17271684071,269.012137301244,0.201945247496533,2747.18794345351,271.269557869785,0.00544702810575586,2770.20317064698,273.526809726791,0,2793.21842754866
230,264.623689867588,0.713045848856807,2701.15745763255,266.594021996147,0.2231228879379,2724.17271684071,268.851301957581,0.201767220330203,2747.18794345351,271.108433461,0.00544855988863529,2770.20317064698,273.36545744538,0,2793.21842754866
240,264.472641678304,0.713629127235883,2701.15745763255,266.456250984775,0.220166142064535,2724.17271684071,268.713233792548,0.201618797912247,2747.18794345351,270.970082860111,0.00544987550866626,2770.20317064698,273.226944739058,0,2793.21842754866
250,264.339782785863,0.714153794383549,2701.15745763255,266.333916515841,0.217978973491523,2724.17271684071,268.590679169892,0.201494016351567,2747.18794345351,270.847260414548,0.00545104373286539,2770.20317064698,273.104006354335,0,2793.21842754866
260,264.218993746904,0.714630664273629,2701.15745763255,266.221645893897,0.216355877930248,2724.17271684071,268.478242951058,0.201388479048448,2747.18794345351,270.734615715449,0.0054521153718399,2770.20317064698,272.991270848792,0,2793.21842754866
