Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,301.115667189224,0,3048.27044421984,303.363099990803,0,3071.18784165837,305.610478708934,0,3094.10522731127,307.857707662629,0,3117.02258894133,310.104988661797,0,3139.93999839204
2,303.507674712378,0,3048.27044421984,305.755171251753,0,3071.18784165837,308.00258797751,0,3094.10522731127,310.24982582238,0,3117.02258894133,312.497112241186,0,3139.93999839204
3,305.327315777163,0,3048.27044421984,307.574880750216,0,3071.18784165837,309.822357069412,0,3094.10522731127,312.06967649677,0,3117.02258894133,314.317023389638,0,3139.93999839204
4,306.581856842074,0,3048.27044421984,308.829473639686,0,3071.18784165837,311.076998152045,0,3094.10522731127,313.324391104103,0,3117.02258894133,315.571792705594,0,3139.93999839204
5,307.43647232115,0,3048.27044421984,309.684124829859,0,3071.18784165837,311.931682774977,0,3094.10522731127,314.17912724729,0,3117.02258894133,316.426567198101,0,3139.93999839204
6,308.029811213358,0,3048.27044421984,310.277488069336,0,3071.18784165837,312.525068528772,0,3094.10522731127,314.7725470532,0,3117.02258894133,317.020012336008,0,3139.93999839204
7,308.453543282707,0,3048.27044421984,310.70123706457,0,3071.18784165837,312.948832885548,0,3094.10522731127,315.196333969237,0,3117.02258894133,317.443816018132,0,3139.93999839204
8,308.767596859006,0,3048.27044421984,311.015302749839,0,3071.18784165837,313.262909281417,0,3094.10522731127,315.510425432975,0,3117.02258894133,317.75791866394,0,3139.93999839204
9,309.009057109005,0,3048.27044421984,311.256771991083,0,3071.18784165837,313.504386263574,0,3094.10522731127,315.751912790002,0,3117.02258894133,317.999413706958,0,3139.93999839204
10,309.201432264808,0,3048.27044421984,311.449154072776,0,3071.18784165837,313.696774143697,0,3094.10522731127,315.944308031193,0,3117.02258894133,318.191814390305,0,3139.93999839204
11,309.361000286315,0,3048.27044421984,311.608727624384,0,3071.18784165837,313.856352171732,0,3094.10522731127,316.103891348049,0,3117.02258894133,318.351401605991,0,3139.93999839204
12,309.493226093552,0,3048.27044421984,311.740958018975,0,3071.18784165837,313.988586281076,0,3094.10522731127,316.236129849916,0,3117.02258894133,318.48364334611,0,3139.93999839204
13,309.609550029438,0,3048.27044421984,311.857285768558,0,3071.18784165837,314.104916955899,0,3094.10522731127,316.352463551103,0,3117.02258894133,318.599979265078,0,3139.93999839204
14,309.711013049382,0,3048.27044421984,311.958752142527,0,3071.18784165837,314.206385922315,0,3094.10522731127,316.45393525486,0,3117.02258894133,318.701452976785,0,3139.93999839204
15,309.801479802182,0,3048.27044421984,312.049221824839,0,3071.18784165837,314.296857820576,0,3094.10522731127,316.544409358281,0,3117.02258894133,318.791928693184,0,3139.93999839204
16,309.88292244775,0,3048.27044421984,312.130667083842,0,3071.18784165837,314.378305037562,0,3094.10522731127,316.625858470066,0,3117.02258894133,318.873379188974,0,3139.93999839204
17,309.958058282763,0,3048.27044421984,312.205805275361,0,3071.18784165837,314.453444949923,0,3094.10522731127,316.700999919528,0,3117.02258894133,318.94852175639,0,3139.93999839204
18,310.026314709622,0,3048.27044421984,312.274063874576,0,3071.18784165837,314.521705160247,0,3094.10522731127,316.769261641663,0,3117.02258894133,319.016784581066,0,3139.93999839204
