Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
10,305.989861264661,0,3100.64667102523,307.712576397991,0,3118.21645192998,309.434995739895,0,3135.78625743573,311.15779562846,0,3153.35606428666,312.880958299218,0,3170.92588067587
20,306.385352596653,0,3100.64667102523,308.108022829319,0,3118.21645192998,309.830348273248,0,3135.78625743573,311.553131532636,0,3153.35606428666,313.276337565226,0,3170.92588067587
30,306.467418521442,0,3100.64667102523,308.190080813063,0,3118.21645192998,309.912389535944,0,3135.78625743573,311.635170217658,0,3153.35606428666,313.358384474831,0,3170.92588067587
40,306.492270660908,0,3100.64667102523,308.214931268382,0,3118.21645192998,309.937236427542,0,3135.78625743573,311.660016473741,0,3153.35606428666,313.383232439782,0,3170.92588067587
50,306.506512597171,0,3100.64667102523,308.229172820207,0,3118.21645192998,309.951477133531,0,3135.78625743573,311.674257002752,0,3153.35606428666,313.397473402868,0,3170.92588067587
60,306.516060062692,0,3100.64667102523,308.238720763189,0,3118.21645192998,309.961025986218,0,3135.78625743573,311.683806194531,0,3153.35606428666,313.407022461865,0,3170.92588067587
70,306.524177219074,0,3100.64667102523,308.246838734437,0,3118.21645192998,309.96914555406,0,3135.78625743573,311.691926294252,0,3153.35606428666,313.415142199013,0,3170.92588067587
80,306.530148025319,0,3100.64667102523,308.252810767126,0,3118.21645192998,309.975120016017,0,3135.78625743573,311.697901564688,0,3153.35606428666,313.421116873285,0,3170.92588067587
90,306.53546489555,0,3100.64667102523,308.258128927856,0,3118.21645192998,309.980440739326,0,3135.78625743573,311.703223126005,0,3153.35606428666,313.426437782497,0,3170.92588067587
100,306.539460570303,0,3100.64667102523,308.262125988579,0,3118.21645192998,309.984440558544,0,3135.78625743573,311.707223853152,0,3153.35606428666,313.430437802796,0,3170.92588067587
110,304.835623733728,0,3100.64667102523,306.558544555591,0,3118.21645192998,308.28137560609,0,3135.78625743573,310.004342594327,0,3153.35606428666,311.727423327444,0,3170.92588067587
120,304.281031482984,0,3100.64667102523,306.004022570681,0,3118.21645192998,307.726998466196,0,3135.78625743573,309.450002096834,0,3153.35606428666,311.17302848564,0,3170.92588067587
130,304.133784600214,0,3100.64667102523,305.856793102359,0,3118.21645192998,307.57980511713,0,3135.78625743573,309.302816782869,0,3153.35606428666,311.025828341858,0,3170.92588067587
140,304.09478391061,0,3100.64667102523,305.817796661046,0,3118.21645192998,307.54081751316,0,3135.78625743573,309.263831066146,0,3153.35606428666,310.986838889121,0,3170.92588067587
