Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,299.104768307876,0,3048.27044421984,301.352197566221,0,3071.18784165837,303.599621507879,0,3094.10522731127,305.847031505182,0,3117.02258894133,308.094449914957,0,3139.93999839204
2,299.295439851363,0,3048.27044421984,301.54287412443,0,3071.18784165837,303.790300994508,0,3094.10522731127,306.03771145393,0,3117.02258894133,308.285130109994,0,3139.93999839204
3,299.441781706113,0,3048.27044421984,301.68922143613,0,3071.18784165837,303.936653028329,0,3094.10522731127,306.18406987867,0,3117.02258894133,308.431493270047,0,3139.93999839204
4,299.541881579107,0,3048.27044421984,301.7893254753,0,3071.18784165837,304.036760962357,0,3094.10522731127,306.284183802566,0,3117.02258894133,308.531611652004,0,3139.93999839204
5,299.608246057952,0,3048.27044421984,301.855692799983,0,3071.18784165837,304.103130996646,0,3094.10522731127,306.350558116537,0,3117.02258894133,308.597989154008,0,3139.93999839204
6,299.652478923108,0,3048.27044421984,301.899927552298,0,3071.18784165837,304.147367539323,0,3094.10522731127,306.394797472334,0,3117.02258894133,308.642230605062,0,3139.93999839204
7,299.682240552433,0,3048.27044421984,301.929690439946,0,3071.18784165837,304.177131613754,0,3094.10522731127,306.424563395636,0,3117.02258894133,308.671997905072,0,3139.93999839204
8,299.702218467133,0,3048.27044421984,301.949669201204,0,3071.18784165837,304.197111174569,0,3094.10522731127,306.44454420464,0,3117.02258894133,308.691979643562,0,3139.93999839204
9,299.715561045398,0,3048.27044421984,301.963012347616,0,3071.18784165837,304.210454859197,0,3094.10522731127,306.457888733144,0,3117.02258894133,308.70532480056,0,3139.93999839204
10,299.724739748373,0,3048.27044421984,301.972191430564,0,3071.18784165837,304.219634295435,0,3094.10522731127,306.467068708171,0,3117.02258894133,308.714505176518,0,3139.93999839204
11,299.731377846642,0,3048.27044421984,301.978829790861,0,3071.18784165837,304.226272891341,0,3094.10522731127,306.473707644846,0,3117.02258894133,308.72114436633,0,3139.93999839204
12,299.736248112454,0,3048.27044421984,301.983700246332,0,3071.18784165837,304.231143515575,0,3094.10522731127,306.478578508918,0,3117.02258894133,308.726015408459,0,3139.93999839204
13,299.73980927523,0,3048.27044421984,301.987261548247,0,3071.18784165837,304.23470494156,0,3094.10522731127,306.482140111854,0,3117.02258894133,308.729577142781,0,3139.93999839204
14,299.742413074065,0,3048.27044421984,301.989865448823,0,3071.18784165837,304.237308932852,0,3094.10522731127,306.484744232503,0,3117.02258894133,308.732181359478,0,3139.93999839204
15,299.744342640654,0,3048.27044421984,301.991795089869,0,3071.18784165837,304.239238639582,0,3094.10522731127,306.48667403119,0,3117.02258894133,308.734111226402,0,3139.93999839204
16,299.745862240553,0,3048.27044421984,301.993314745153,0,3071.18784165837,304.24075834138,0,3094.10522731127,306.488193792379,0,3117.02258894133,308.735631031522,0,3139.93999839204
17,299.747230862625,0,3048.27044421984,301.994683411189,0,3071.18784165837,304.242127040051,0,3094.10522731127,306.489562521722,0,3117.02258894133,308.736999783246,0,3139.93999839204
18,299.748581806653,0,3048.27044421984,301.996034395035,0,3071.18784165837,304.243478050603,0,3094.10522731127,306.490913549121,0,3117.02258894133,308.738350822623,0,3139.93999839204
19,299.749869780124,0,3048.27044421984,301.997322407719,0,3071.18784165837,304.244766090725,0,3094.10522731127,306.4922016102,0,3117.02258894133,308.739638898808,0,3139.93999839204
20,299.750997797565,0,3048.27044421984,301.998450462359,0,3071.18784165837,304.245894173806,0,3094.10522731127,306.493329722427,0,3117.02258894133,308.740767032392,0,3139.93999839204
21,299.751930354758,0,3048.27044421984,301.999383052044,0,3071.18784165837,304.246826789609,0,3094.10522731127,306.494262368564,0,3117.02258894133,308.741699700884,0,3139.93999839204
22,299.752679917411,0,3048.27044421984,302.000132641548,0,3071.18784165837,304.247576401095,0,3094.10522731127,306.495012006634,0,3117.02258894133,308.742449358583,0,3139.93999839204
23,299.753313181554,0,3048.27044421984,302.000765927355,0,3071.18784165837,304.248209703773,0,3094.10522731127,306.495645327433,0,3117.02258894133,308.743082692701,0,3139.93999839204
24,299.753861910194,0,3048.27044421984,302.001314674342,0,3071.18784165837,304.248758464629,0,3094.10522731127,306.496194102009,0,3117.02258894133,308.743631477325,0,3139.93999839204
25,299.7543888395,0,3048.27044421984,302.001841619654,0,3071.18784165837,304.249285420743,0,3094.10522731127,306.496721065112,0,3117.02258894133,308.744158445419,0,3139.93999839204
26,299.754968729552,0,3048.27044421984,302.002421525207,0,3071.18784165837,304.249865335015,0,3094.10522731127,306.497300979476,0,3117.02258894133,308.744738359552,0,3139.93999839204
27,299.755641452811,0,3048.27044421984,302.003094265562,0,3071.18784165837,304.250538084281,0,3094.10522731127,306.49797372615,0,3117.02258894133,308.745411103922,0,3139.93999839204
28,299.756393266945,0,3048.27044421984,302.003846099458,0,3071.18784165837,304.251289929238,0,3094.10522731127,306.498725571037,0,3117.02258894133,308.746162948363,0,3139.93999839204
29,299.757150171918,0,3048.27044421984,302.004603026359,0,3071.18784165837,304.252046870412,0,3094.10522731127,306.499482519812,0,3117.02258894133,308.746919902465,0,3139.93999839204
30,299.757829324005,0,3048.27044421984,302.005282200372,0,3071.18784165837,304.252726060657,0,3094.10522731127,306.500161725176,0,3117.02258894133,308.74759911886,0,3139.93999839204
31,299.758408579204,0,3048.27044421984,302.005861475199,0,3071.18784165837,304.253305350684,0,3094.10522731127,306.500741031292,0,3117.02258894133,308.74817843679,0,3139.93999839204
32,299.75887577799,0,3048.27044421984,302.00632869069,0,3071.18784165837,304.25377257969,0,3094.10522731127,306.501208276204,0,3117.02258894133,308.748645693438,0,3139.93999839204
33,299.759238338295,0,3048.27044421984,302.00669126446,0,3071.18784165837,304.254135164618,0,3094.10522731127,306.501570874958,0,3117.02258894133,308.749008302418,0,3139.93999839204
34,299.759514702899,0,3048.27044421984,302.006967639521,0,3071.18784165837,304.254411548382,0,3094.10522731127,306.501847269595,0,3117.02258894133,308.749284705103,0,3139.93999839204
35,299.759754712903,0,3048.27044421984,302.007207657568,0,3071.18784165837,304.254651572331,0,3094.10522731127,306.502087298858,0,3117.02258894133,308.749524738246,0,3139.93999839204
36,299.760055829274,0,3048.27044421984,302.007508781109,0,3071.18784165837,304.254952698848,0,3094.10522731127,306.502388421333,0,3117.02258894133,308.749825857523,0,3139.93999839204
