Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,308.386066958615,0,3132.44169559113,309.629118592476,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,309.4078898399,0,3132.44169559113,310.650939523065,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,310.091473215768,0,3132.44169559113,311.334521092819,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,310.530738588588,0,3132.44169559113,311.773785261118,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,310.815083209363,0,3132.44169559113,312.058129116332,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,311.003692115138,0,3132.44169559113,312.246737531162,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,311.130794215604,0,3132.44169559113,312.3738393077,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,311.216040885729,0,3132.44169559113,312.459085759315,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,311.272725906171,0,3132.44169559113,312.51577063272,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,311.311650363681,0,3132.44169559113,312.554694992436,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,311.339789345081,0,3132.44169559113,312.582833906432,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,311.360153937082,0,3132.44169559113,312.603198448714,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,311.374878409206,0,3132.44169559113,312.617922884423,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,311.385600055196,0,3132.44169559113,312.628644504013,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,311.393304409237,0,3132.44169559113,312.636348838418,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,311.398949450739,0,3132.44169559113,312.641993865212,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,311.40394727095,0,3132.44169559113,312.646991674578,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,311.409087219603,0,3132.44169559113,312.652131613753,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,311.414016067755,0,3132.44169559113,312.657060451818,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,311.418170823464,0,3132.44169559113,312.661215197363,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,311.421252523283,0,3132.44169559113,312.664296887944,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,311.423271716353,0,3132.44169559113,312.66631607344,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,311.424688562438,0,3132.44169559113,312.66773291401,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,311.425666470534,0,3132.44169559113,312.668710817691,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,311.426617591211,0,3132.44169559113,312.669661934957,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,311.428043821589,0,3132.44169559113,312.671088162338,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,311.430203977095,0,3132.44169559113,312.673248314324,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,311.432815522575,0,3132.44169559113,312.675859854836,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,311.435341775401,0,3132.44169559113,312.678386101572,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,311.437362120278,0,3132.44169559113,312.680406440303,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,311.438825873187,0,3132.44169559113,312.681870187946,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,311.439704729836,0,3132.44169559113,312.682749040324,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,311.440079488014,0,3132.44169559113,312.683123795351,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,311.44007505211,0,3132.44169559113,312.683119357301,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,311.43997297469,0,3132.44169559113,312.683017278596,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,311.440204330026,0,3132.44169559113,312.683248632991,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,311.441001831269,0,3132.44169559113,312.684046132715,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,311.442367065871,0,3132.44169559113,312.685411364739,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,311.444057334689,0,3132.44169559113,312.687101629814,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,311.44578924699,0,3132.44169559113,312.688833537637,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,311.447381333555,0,3132.44169559113,312.690425619586,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,311.448671712105,0,3132.44169559113,312.691715993717,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,311.449617545593,0,3132.44169559113,312.69266182336,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,311.45029541361,0,3132.44169559113,312.693339688209,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,311.450731106636,0,3132.44169559113,312.693775378548,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,311.450908921958,0,3132.44169559113,312.693953191604,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,311.451061602047,0,3132.44169559113,312.694105870011,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,311.451336324466,0,3132.44169559113,312.694380590837,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,311.451828147552,0,3132.44169559113,312.694872412096,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,311.452588197956,0,3132.44169559113,312.695632460226,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,308.237476267451,0,3132.44169559113,309.480524328364,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,307.417469495453,0,3132.44169559113,308.660519300227,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,307.240687758447,0,3132.44169559113,308.483737968829,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,307.203416258503,0,3132.44169559113,308.446466557792,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,307.196155622104,0,3132.44169559113,308.439205941857,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,307.195157685181,0,3132.44169559113,308.438208010758,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120,307.195491900981,0,3132.44169559113,308.438542228928,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
130,307.196384332975,0,3132.44169559113,308.439434661696,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
140,307.197277043554,0,3132.44169559113,308.440327372546,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,307.1980218083,0,3132.44169559113,308.441072137403,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160,307.198251131533,0,3132.44169559113,308.441301461189,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170,307.197531971316,0,3132.44169559113,308.440582302631,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180,307.197248614143,0,3132.44169559113,308.440298946491,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
190,307.19748306956,0,3132.44169559113,308.440533401808,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,307.197494150294,0,3132.44169559113,308.440544482471,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210,307.197118984627,0,3132.44169559113,308.44016931726,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
220,307.196669266044,0,3132.44169559113,308.439719599336,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
230,307.196222228207,0,3132.44169559113,308.439272562073,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
240,307.195528271041,0,3132.44169559113,308.43857860553,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250,307.194475933316,0,3132.44169559113,308.437526268985,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
260,307.193422889399,0,3132.44169559113,308.436473226522,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
270,307.192354179899,0,3132.44169559113,308.435404518613,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
280,307.190893189674,0,3132.44169559113,308.433943530477,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
290,307.189349362573,0,3132.44169559113,308.432399705628,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300,307.18803013122,0,3132.44169559113,308.431080476301,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
310,307.186921716432,0,3132.44169559113,308.429972063326,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
320,307.185497714308,0,3132.44169559113,308.428548063439,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
330,307.184058832052,0,3132.44169559113,308.427109183494,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
340,307.182967777801,0,3132.44169559113,308.426018131102,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350,307.182248695854,0,3132.44169559113,308.425299050466,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
360,307.181636827123,0,3132.44169559113,308.424687182838,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370,307.181013916574,0,3132.44169559113,308.424064273392,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
380,307.180408247722,0,3132.44169559113,308.423458605635,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
390,307.179858564299,0,3132.44169559113,308.422908923245,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,307.179366509617,0,3132.44169559113,308.422416869513,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
410,307.179005064729,0,3132.44169559113,308.422055425384,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
420,307.178792218456,0,3132.44169559113,308.421842579639,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
430,307.178568926588,0,3132.44169559113,308.421619288267,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
440,307.178267310612,0,3132.44169559113,308.421317672882,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,307.178037665647,0,3132.44169559113,308.421088028432,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
460,307.177922005772,0,3132.44169559113,308.420972368899,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
470,307.177953861641,0,3132.44169559113,308.421004224882,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
480,307.178104701993,0,3132.44169559113,308.421155065144,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
490,307.178306377904,0,3132.44169559113,308.421356740864,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,307.178452477701,0,3132.44169559113,308.421502840529,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
510,307.178579061334,0,3132.44169559113,308.421629424068,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
520,307.178700359069,0,3132.44169559113,308.421750721723,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
530,307.178840779514,0,3132.44169559113,308.421891142067,0,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
